Generated_Name,DocumentID,Type,Category,Year,Title,Submitted By,utas,duplicate
ATCM1_ip001_e.txt,IP001,IP,Operation of the Antarctic Treaty system Reports,1961,Agenda (Adopted),Australia,0,0
ATCM1_ip002_e.txt,IP002,IP,Operation of the Antarctic Treaty system General,1961,Rules of Procedure (Adopted),Australia,0,0
ATCM1_ip003_e.txt,IP003,IP,Operation of the Antarctic Treaty system General,1961,Final List of Participants (Revised),Australia,0,0
ATCM1_ip004_e.txt,IP004,IP,Opening statements,1961,"Address of Welcome on the Occasion of the Opening of the First Antarctic Consultative Meeting by the Prime Minister and Minister of State for External Affairs of Australia, the Right honourable R.G. Menzies, C.H., QC, M.P.",Australia,0,0
ATCM1_ip005_e.txt,IP005,IP,Opening statements,1961,"Statement by Senator the Honourable J.G. Gorton, Leader of the Australian Delegation upon his election as Chairman of the Meeting",Australia,0,0
ATCM1_ip006_e.txt,IP006,IP,Opening statements,1961,"Speech by Dr. R.E. Guyer, Deputy Leader of the Argentine Delegation at the Opening Session of the Meeting, 10 July 1961",Argentina,0,0
ATCM1_ip007_e.txt,IP007,IP,Opening statements,1961,"Speech by Mr. R.L. Harry, Deputy Leader of the Australian Delegation, at the opening session of the Meeting. 10 July 1961",Australia,0,0
ATCM1_ip008_e.txt,IP008,IP,Opening statements,1961,"Speech by His Excellency Mr. Willy Stevens, Leader of the Belgian Delegation, at the opening session of the Meeting, 10 July 1961",Belgium,0,0
ATCM1_ip009_e.txt,IP009,IP,Opening statements,1961,"Speech by His Excellency Señor Marcial Mora, Leader of the Chilean Delegation, at the opening session of the Meeting. 10 July 1961",Chile,0,0
ATCM1_ip010_e.txt,IP010,IP,Opening statements,1961,"Speech by His Excellency M. Philippe Monod, Leader of the French Delegation, at the opening session of the Meeting. 10 July 1961",France,0,0
ATCM1_ip011_e.txt,IP011,IP,Opening statements,1961,"Speech by His Excellency Mr. Saburo Ohta, Leader of the Japanese Delegation, at the Opening Session of the Meeting. 10 July 1961",Japan,0,0
ATCM1_ip012_e.txt,IP012,IP,Opening statements,1961,"Speech by His Excellency Mr. S.C. Johnston, Leader of the New Zealand Delegation, at the opening session of the Meeting. 10 July 1961",New Zealand,0,0
ATCM1_ip013_e.txt,IP013,IP,Opening statements,1961,"Speech by R.O. Nordland, Leader of the Norwegian Delegation, at the opening session of the Meeting. 10 July 1961",Norway,0,0
