No.,Title,E,Year,Meeting_Number,type,Ag_Items_Combined,Submitted_By_Combined,Generated_Name,utas,category,rev
IP001,Agenda (Adopted),X,1961,1,IP,ATCM 5,Australia,ATCM1_ip001_e.txt,0,Operation of the Antarctic Treaty system Reports,0
IP002,Rules of Procedure (Adopted),X,1961,1,IP,ATCM 2,Australia,ATCM1_ip002_e.txt,0,Operation of the Antarctic Treaty system General,0
IP003,Final List of Participants (Revised),X,1961,1,IP,ATCM 22,Australia,ATCM1_ip003_e.txt,0,Operation of the Antarctic Treaty system General,0
IP004,"Address of Welcome on the Occasion of the Opening of the First Antarctic Consultative Meeting by the Prime Minister and Minister of State for External Affairs of Australia, the Right honourable R.G. Menzies, C.H., QC, M.P.",X,1961,1,IP,ATCM 4,Australia,ATCM1_ip004_e.txt,0,Opening statements,0
IP005,"Statement by Senator the Honourable J.G. Gorton, Leader of the Australian Delegation upon his election as Chairman of the Meeting",X,1961,1,IP,ATCM 4,Australia,ATCM1_ip005_e.txt,0,Opening statements,0
IP006,"Speech by Dr. R.E. Guyer, Deputy Leader of the Argentine Delegation at the Opening Session of the Meeting, 10 July 1961",X,1961,1,IP,ATCM 4,Argentina,ATCM1_ip006_e.txt,0,Opening statements,0
IP007,"Speech by Mr. R.L. Harry, Deputy Leader of the Australian Delegation, at the opening session of the Meeting. 10 July 1961",X,1961,1,IP,ATCM 4,Australia,ATCM1_ip007_e.txt,0,Opening statements,0
IP008,"Speech by His Excellency Mr. Willy Stevens, Leader of the Belgian Delegation, at the opening session of the Meeting, 10 July 1961",X,1961,1,IP,ATCM 4,Belgium,ATCM1_ip008_e.txt,0,Opening statements,0
IP009,"Speech by His Excellency Señor Marcial Mora, Leader of the Chilean Delegation, at the opening session of the Meeting. 10 July 1961",X,1961,1,IP,ATCM 4,Chile,ATCM1_ip009_e.txt,0,Opening statements,0
IP010,"Speech by His Excellency M. Philippe Monod, Leader of the French Delegation, at the opening session of the Meeting. 10 July 1961",X,1961,1,IP,ATCM 4,France,ATCM1_ip010_e.txt,0,Opening statements,0
IP011,"Speech by His Excellency Mr. Saburo Ohta, Leader of the Japanese Delegation, at the Opening Session of the Meeting. 10 July 1961",X,1961,1,IP,ATCM 4,Japan,ATCM1_ip011_e.txt,0,Opening statements,0
IP012,"Speech by His Excellency Mr. S.C. Johnston, Leader of the New Zealand Delegation, at the opening session of the Meeting. 10 July 1961",X,1961,1,IP,ATCM 4,New Zealand,ATCM1_ip012_e.txt,0,Opening statements,0
IP013,"Speech by R.O. Nordland, Leader of the Norwegian Delegation, at the opening session of the Meeting. 10 July 1961",X,1961,1,IP,ATCM 4,Norway,ATCM1_ip013_e.txt,0,Opening statements,0
IP014,"Speech by His Excellency Mr. H.N. Woodward, Leader of the South African Delegation, at the opening session of the Meeting. 10 July 1961",X,1961,1,IP,ATCM 4,South Africa,ATCM1_ip014_e.txt,0,Opening statements,0
IP015,"Speech by His Excellency Mr. Ivan F. Kurdiukov, Leader of the U.S.S.R. Delegation, at the opening session of the Meeting. 10 July 1961",X,1961,1,IP,ATCM 4,Russian Federation,ATCM1_ip015_e.txt,0,Opening statements,0
IP016,"Speech by Mr. R.H.G. Edmonds, Alternate Representative of the United Kingdom Delegation, at the opening session of the Meeting. 10 July 1961",X,1961,1,IP,ATCM 4,United Kingdom,ATCM1_ip016_e.txt,0,Opening statements,0
IP017,"Speech by His Excellency The Honorable Mr. William J. Sebald, Leader of the United Stated Delegation, at the opening session of the Meeting. 10 July 1961",X,1961,1,IP,ATCM 4,United States,ATCM1_ip017_e.txt,0,Opening statements,0
IP018,Report of the First Antarctic Treaty Consultative Meeting,X,1961,1,IP,ATCM 22,Australia,ATCM1_ip018_e.txt,0,Operation of the Antarctic Treaty system Reports,0
IP019,Press Communiqué,X,1961,1,IP,ATCM 22,Australia,ATCM1_ip019_e.txt,0,Operation of the Antarctic Treaty system General,0
