Document_Number,Subject,Status,Category,Topics,Title,Content
853,Towards ending plastic pollution in the Antarctic Treaty area,Adopted 03/07/2025,Environmental protection,Environmental protection,"Resolution 5 (2025) - ATCM 47 - CEP 27, Milan","Towards ending plastic pollution in the Antarctic Treaty areaThe Representatives,Acknowledging that the majority of plastic pollution found in Antarctica originates from outside of Antarctica, while aware that human activities, including those in Antarctica, also contribute to plastic pollution;Conscious of their responsibility to ensure comprehensive protection of the Antarctic environment and dependent and associated ecosystems;Recalling Articles 1, 2 and 6 of Annex III to the Protocol on Environmental Protection to the Antarctic Treaty (“the Protocol”) on waste disposal and waste management and Articles 2 and 5 of Annex IV to the Protocol on marine pollution;Noting with great concern the increasing levels of both macroplastic and microplastic pollution found in the Antarctic Treaty area;Recalling Resolution 5 (2019) Reducing Plastic Pollution in Antarctica and the Southern Ocean;Noting with appreciation the growing number of Antarctic Treaty Consultative Meeting (“ATCM”) papers on preventing plastic pollution from all sources;Noting the ongoing negotiations on an international legally binding instrument to end plastic pollution;Recommend that their Governments:1. continue implementing existing Resolutions on plastic pollution, as appropriate;2. take all relevant measures, as appropriate, to prevent or reduce plastic pollution resulting from activities within their control in the Antarctic Treaty area;3. share their experiences with addressing plastic pollution associated with human activities in the Antarctic Treaty area, such as through papers to the ATCM identifying best practice approaches;4. strengthen scientific research and monitoring efforts to assess plastic pollution and its sources and impacts on the Antarctic environment and dependent and associated ecosystems, taking into account relevant standards and comparative methodologies, as appropriate;5. invite the Scientific Committee on Antarctic Research (“SCAR”) to periodically assess and synthesise existing knowledge and scientific data on plastic pollution in the Antarctic Treaty area, including on related risks to Antarctic species and communities, report its findings to the Committee for Environmental Protection and make its synthesis reports available to the public; and6. engage actively in international discussions on plastic pollution in other relevant fora taking into account, as appropriate, the Antarctic environment and dependent and associated ecosystems."
852,General Guidelines for Visitors to the Antarctic,Adopted 03/07/2025,Tourism and Non-Governmental Activities,Tourism and Non-Governmental Activities,"Resolution 4 (2025) - ATCM 47 - CEP 27, Milan","General Guidelines for Visitors to the AntarcticThe Representatives,Recalling Recommendation XVIII-1 (1994), which annexed the Guidance for those organising and conducting tourism and non-governmental activities in the Antarctic and Resolution 3 (2011), which annexed General Guidelines for Visitors to the Antarctic (“General Guidelines”);Recalling that, at Antarctic Treaty Consultative Meeting (“ATCM”) XLV (2023), the Secretariat of the Antarctic Treaty (“the Secretariat”) was tasked to review, within existing resources, all relevant Antarctic Treaty documents pertaining to current and future cooperation, to provide options for potential adoption by the ATCM that would ensure gender-neutral language across these documents;Recalling that the Secretariat reviewed the General Guidelines and presented draft revised General Guidelines to ATCM 46, in each of the official languages of the Antarctic Treaty, to address identified inconsistencies with the United Nations Guidelines for gender-inclusive language;Recalling Resolution 2 (2024), which annexed updated General Guidelines with revisions in the English language only;Recalling that, at ATCM 46 (2024), the Secretariat was requested to send the French, Russian and Spanish versions of the draft revised General Guidelines for proofreading;Noting that the Secretariat presented for consideration the French, Russian and Spanish versions of the draft revised General Guidelines to ATCM 47;Desiring to replace the current French and Spanish language versions of the General Guidelines;Desiring that no changes be made to the Russian language version;Recommend that their Governments:1. request that no changes be made to the Russian language version; and2. request the Secretariat to replace the General Guidelines currently on its website with the revised version in all four official languages annexed to this Resolution."
851,"Revised Guide to the presentation of Working Papers containing proposals for Antarctic Specially Protected Areas, Antarctic Specially Managed Areas or Historic Sites and Monuments",Adopted 03/07/2025,Area protection and management,Area protection and management,"Resolution 3 (2025) - ATCM 47 - CEP 27, Milan","Revised Guide to the presentation of Working Papers containing proposals for Antarctic Specially Protected Areas, Antarctic Specially Managed Areas or Historic Sites and MonumentsThe Representatives,Noting that Annex V to the Protocol on Environmental Protection to the Antarctic Treaty provides for the Antarctic Treaty Consultative Meeting (“ATCM”) to adopt proposals to designate an Antarctic Specially Protected Area (“ASPA”) or an Antarctic Specially Managed Area (“ASMA”), to adopt or amend a Management Plan for such an area, or to designate an Historic Site and Monument (“HSM”), by a Measure in accordance with Article IX(1) of the Antarctic Treaty;Conscious of the need to ensure clarity concerning the current status of each ASPA and ASMA and its Management Plan, and each HSM;Recalling Resolution 1 (2008), which recommended that the Guide to the presentation of Working Papers containing proposals for Antarctic Specially Protected Areas, Antarctic Specially Managed Areas or Historic Sites and Monuments (“the Guide”), annexed to it, be used by those engaged in the preparation of such Working Papers;Further recalling Resolution 2 (2021), which updated the Guide to align Template B with changes laid out in Decision 1 (2019);Desiring to update Template A of the Guide to ensure consistency and accuracy in the set of shapefiles for ASPAs and ASMAs;Recommend that their Governments:1. replace the Guide annexed to Resolution 2 (2021) with the Guide, as revised, annexed to this Resolution, which is to be used by those engaged in the preparation of such Working Papers; and2. request the Secretariat of the Antarctic Treaty to post the text of Resolution 2 (2021) on its website in a way that makes clear that it is no longer current."
850,Revised Guidelines for implementation of the Framework for Antarctic Specially Protected Areas,Adopted 03/07/2025,Area protection and management,Area protection and management,"Resolution 2 (2025) - ATCM 47 - CEP 27, Milan","Revised Guidelines for implementation of the Framework for Antarctic Specially Protected AreasThe Representatives,Noting that Article 3 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty (“the Protocol”) provides for the designation of Antarctic Specially Protected Areas (“ASPA”);Recalling paragraph 2 of Article 3 of Annex V to the Protocol;Recalling Resolution 2 (1998) Guide to the Preparation of Management Plans for Antarctic Specially Protected Areas;Recalling Resolution 1 (2000) which recommended that the Guidelines for implementation of the Framework for Protected Areas set forth in Article 3, Annex V to the Environmental Protocol (“the Guidelines for implementation of the Framework for Protected Areas”), annexed to it, be used by those engaged in the development of proposals for specially protected areas in Antarctica;Conscious of the need for general guidance in the assessment and definition of potential specially protected areas;Recommend that their Governments:1. replace the Guidelines for implementation of the Framework for Protected Areas with the revised Guidelines, which are annexed to this Resolution and which are to be used by those engaged in the development of proposals for specially protected areas in Antarctica; and2. request the Secretariat of the Antarctic Treaty to post the text of Resolution 1 (2000) on its website in a way that makes clear that it is no longer current."
849,Site Guidelines for Visitors,Adopted 03/07/2025,Tourism and Non-Governmental Activities,Tourism and Non-Governmental Activities,"Resolution 1 (2025) - ATCM 47 - CEP 27, Milan","Site Guidelines for VisitorsThe Representatives,Recalling Resolutions 5 (2005), 2 (2006), 1 (2007), 2 (2008), 4 (2009), 1 (2010), 4 (2011), 4 (2012), 3 (2013), 4 (2014), 2 (2016), 1 (2018), 2 (2019), 3 (2021) and 2 (2022) which adopted and updated lists of sites subject to Site Guidelines for Visitors (“Site Guidelines”);Believing that Site Guidelines enhance the provisions set out in the Guidance for those organising and conducting tourism and non-governmental activities in the Antarctic annexed to Recommendation XVIII-1 (1994);Confirming that the term “visitors” does not include scientists conducting research within such sites, or individuals engaged in official governmental activities;Noting that Site Guidelines have been developed based on the current levels and types of visits at each specific site, and aware that Site Guidelines would require review if there were any significant changes to the levels or types of visits to a site;Believing that the Site Guidelines for each site must be reviewed and revised promptly in response to changes in the levels and types of visits, or in response to any demonstrable or likely environmental impacts;Desiring to keep the list of sites subject to Site Guidelines and the Site Guidelines up to date;Recommend that:1. Cape Bird, Ross Island be added to the list of sites subject to Site Guidelines annexed to this Resolution and that the Site Guidelines for this site, as adopted by the Antarctic Treaty Consultative Meeting (“ATCM”), be added to the Site Guidelines;2. Astrolabe Island, Devil Island, Neko Harbour, Paulet Island and Stonington Island be updated in the list of sites subject to Site Guidelines annexed to this Resolution and that the Site Guidelines for those sites, as adopted by the ATCM, be added to the Site Guidelines;3. the Secretariat of the Antarctic Treaty (“the Secretariat”) update its website accordingly;4. their Governments urge all potential visitors to ensure that they are fully conversant with and adhere to the relevant Site Guidelines; and5. the Secretariat post the text of Resolution 2 (2022) on its website in such a way that makes clear that it is no longer current."
848,Multi-year Strategic Work Plan for the Antarctic Treaty Consultative Meeting,Adopted 03/07/2025,Institutional & legal matters,Institutional & legal matters,"Decision 7 (2025) - ATCM 47 - CEP 27, Milan","Multi-year Strategic Work Plan for the Antarctic Treaty Consultative MeetingThe Representatives,Reaffirming the values, objectives and principles contained in the Antarctic Treaty and its Protocol on Environmental Protection;Recalling Decision 3 (2012) on the Multi-year Strategic Work Plan (“the Plan”) and its principles;Bearing in mind that the Plan is complementary to the agenda of the Antarctic Treaty Consultative Meeting (“ATCM”) and that the Parties and other ATCM participants are encouraged to contribute as usual to other matters on the ATCM agenda;Decide:1. to adopt the Plan annexed to this Decision; and2. that the Plan annexed to Decision 4 (2024) is no longer current."
847,Liability arising from environmental emergencies,Adopted 03/07/2025,Institutional & legal matters,Institutional & legal matters,"Decision 6 (2025) - ATCM 47 - CEP 27, Milan","Liability arising from environmental emergenciesThe Representatives,Recalling the undertaking in Article 16 of the Protocol on Environmental Protection to the Antarctic Treaty (“the Protocol”) to elaborate rules and procedures relating to liability for damage arising from activities taking place in the Antarctic Treaty area and covered by the Protocol;Recalling Measure 1 (2005) and the adoption of Annex VI to the Protocol, as a step towards the establishment of a liability regime in accordance with Article 16 of the Protocol;Noting that Annex VI has yet to become effective;Recalling Decisions 1 (2005), 4 (2010), 5 (2015) and 2 (2022) regarding the annual evaluation of progress towards Annex VI becoming effective and the establishment of a time frame for the resumption of negotiations on liability in accordance with Article 16 of the Protocol;Acknowledging the advice provided by the Committee for Environmental Protection (“CEP”) that its 2013 advice on environmental issues related to the practicality of specific instances of repair or remediation of environmental damage in the circumstances of Antarctica remains accurate and relevant;Decide:1. to continue to evaluate annually the progress made towards Annex VI becoming effective in accordance with Article IX of the Antarctic Treaty, and what action may be necessary and appropriate to encourage Parties to approve Annex VI in a timely manner;2. to continue to share with one another information and experience, to support progress towards Annex VI becoming effective;3. to take a decision in 2030 on the establishment of a time frame for the resumption of negotiations on liability in accordance with Article 16 of the Protocol, or sooner if Parties so decide in light of progress made in approving Measure 1 (2005); and4. that Decision 2 (2022) is no longer current."
846,Appointment of the Executive Secretary,Adopted 03/07/2025,Institutional & legal matters,Institutional & legal matters,"Decision 5 (2025) - ATCM 47 - CEP 27, Milan","Appointment of the Executive SecretaryThe Representatives,Recalling Article 3 of Measure 1 (2003) regarding the appointment of an Executive Secretary to head the Secretariat of the Antarctic Treaty (“the Secretariat”);Recalling Decision 4 (2021) on the re-appointment of Mr Albert Lluberas Bonaba as Executive Secretary of the Secretariat for a term of four years from 1 September 2021;Recalling Decision 4 (2016) on the Procedure for Selection and Appointment of the Executive Secretary of the Secretariat of the Antarctic Treaty;Recalling Regulation 6.1 of the Staff Regulations for the Secretariat of the Antarctic Treaty, annexed to Decision 2 (2021);Decide:1. to appoint Mr Francisco Javier Berguño Hurtado as Executive Secretary of the Secretariat for a term of four years, pursuant to the terms and conditions set forth in the letter of the Chair of the 47th Antarctic Treaty Consultative Meeting annexed to this Decision; and2. that this appointment will commence on 1 September 2025."
845,Renewal of the contract of the Secretariat's external auditor,Adopted 03/07/2025,Institutional & legal matters,Institutional & legal matters,"Decision 4 (2025) - ATCM 47 - CEP 27, Milan","Renewal of the contract of the Secretariat's external auditorThe Representatives,Recalling the Financial Regulations for the Secretariat of the Antarctic Treaty (“the Financial Regulations”) annexed to Decision 4 (2003), and amended by Decision 6 (2005), and specifically Regulation 11 (External Audit);Conscious that the Secretariat of the Antarctic Treaty (“the Secretariat”) conducts the majority of its financial transactions in Argentina, and that the detailed rules of bookkeeping and accounting are country-specific;Noting Argentina’s proposal to designate the Sindicatura General de la Nación (“SIGEN”) as the external auditor of the Secretariat;Decide:1. to designate SIGEN as the external auditor of the Secretariat for Financial Years 2025/26 to 2028/29, in accordance with Regulation 11.1 of the Financial Regulations; and2. to authorise the Executive Secretary to negotiate a contract with SIGEN to carry out annual external audits for the above-mentioned years in accordance with Regulation 11.3, the Annex to this Decision (which lists the tasks to be carried out) and the budgetary limits set by the Antarctic Treaty Consultative Meeting."
844,"Secretariat Report, Programme and Budget",Adopted 03/07/2025,Institutional & legal matters,Institutional & legal matters,"Decision 3 (2025) - ATCM 47 - CEP 27, Milan","Secretariat Report, Programme and BudgetThe Representatives,Recalling Measure 1 (2003) on the establishment of the Secretariat of the Antarctic Treaty (“the Secretariat”);Bearing in mind the Financial Regulations for the Secretariat of the Antarctic Treaty (“the Financial Regulations”) annexed to Decision 4 (2003) and amended by Decision 6 (2005);Decide:1. to approve the audited Financial Report for 2023/24 annexed to this Decision (Annex 1);2. to take note of the Secretariat Report 2024/25, which includes the Provisional Financial Report for 2024/25, annexed to this Decision (Annex 2);3. to take note of the Five Year Forward Budget Profile 2026/27-2030/31 and approve the Secretariat Programme 2025/26, including the Budget for 2025/26 and the Forecast Budget 2026/27, annexed to this Decision (Annex 3); and4. to request that the Executive Secretary of the Secretariat open at the Antarctic Treaty Consultative Meeting Forum a topic to report to the Consultative Parties on financial issues."
