Document_Number,Subject,Status,Category,Topics,Title,Content,Measure,Year,ATCM,Feature,City,TRUE,FALSE
432,Landing of Persons from Passenger vessels,Not yet effective,Tourism and Non-Governmental Activities,Tourism and Non-Governmental Activities,"Measure 15 (2009) - ATCM XXXII - CEP XII, Baltimore","Landing of Persons from Passenger Vessels in the Antarctic Treaty AreaThe Representatives,Noting the increasing trend in tourist activities in the Treaty area and the possible impacts of such activities on the Antarctic environment, including its wildlife, and on the conduct of scientific research;Conscious of their responsibilities to ensure that tourism is conducted in a safe and environmentally responsible manner consistent with the objectives of the Antarctic Treaty;Acknowledging the tourism industry’s collaboration in efforts to ensure that its activities are sustainable and compatible with the objectives of the Antarctic Treaty;Aware of hazards confronting passenger vessels operating in the Antarctic Treaty area and desiring to promote the safety of life at sea;Wishing to minimize the likelihood of marine oil spills due to incidents involving large tourist vessels in Antarctica;Recalling Resolution 4 (2007);Recalling the existence of resolutions which set site-specific recommendations;Recommend to their Governments the following Measure for approval in accordance with paragraph 4 of Article IX of the Antarctic Treaty:That:1. Parties shall require their operators organizing tourist or other non-governmental activities in the Antarctic Treaty area, for which advance notification is required in accordance with Article VII(5) of the Antarctic Treaty,a. to refrain from making any landings in Antarctica from vessels carrying more than 500 passengers unless a lower number is otherwise specified in applicable ATCM measures; andb. in the case of vessels carrying 500 or fewer passengers,i. to coordinate with each other with the objective  that not more than one tourist vessel is at a landing site at any one time;ii. to restrict the number of passengers on shore at any one time to 100 or fewer, unless a lower number is otherwise specified in applicable ATCM Measures and to maintain a 1:20 guide-to-passenger ratio, unless a more restrictive ratio is otherwise specified in applicable ATCM  measures.2. nothing in this Measure shall derogate from the rights and obligations of any Party with respect to environmental impact assessments and restrictions on the activities of their nationals in accordance with Article 8 and other relevant provisions of the Protocol on Environmental Protection to the Antarctic Treaty.3. this Measure, including the specific restrictions in paragraph 1 above, shall be subject to further discussion in future ATCMs to take account of possible changes in circumstance, including with respect to specific sites in Antarctica.",Measure 15,2009,ATCM XXXII,CEP XII,Baltimore,"Argentina, Australia, Belgium, Czechia, Ecuador, Finland, France, Japan, Netherlands, New Zealand, Russian Federation, Spain, Ukraine, United Kingdom, Uruguay","Brazil, Bulgaria, Chile, China, Germany, India, Italy, Korea (ROK), Norway, Peru, Poland, South Africa, Sweden, United States"
331,Annex VI (Liability),Not yet effective,Institutional & legal mattersEnvironmental protection,Institutional & legal mattersEnvironmental protection,"Measure 1 (2005) - ATCM XXVIII - CEP VIII, Stockholm","ANNEX VI TO THE PROTOCOL ON ENVIRONMENTAL PROTECTION TO THE ANTARCTIC TREATY:LIABILITY ARISING FROM ENVIRONMENTAL EMERGENCIESThe Representatives,Recommend to their Governments that:i. The Annex attached to this Measure form Annex VI on Liability Arising From Environmental Emergencies to the Protocol on Environmental Protection to the Antarctic Treaty;ii. The Annex become effective upon the date on which this Measure has been approved by all Consultative Parties entitled to attend the XXVIIIth Antarctic Treaty Consultative Meeting.Attachment: Annex VI to the Protocol on Environmental Protection to the Antarctic Treaty.",Measure 1,2005,ATCM XXVIII,CEP VIII,Stockholm,"Australia, Chile, Colombia, Ecuador, Finland, France, Germany, Italy, Netherlands, New Zealand, Norway, Peru, Poland, Russian Federation, South Africa, Spain, Sweden, Ukraine, United Kingdom, Uruguay","Argentina, Belgium, Brazil, Bulgaria, China, Czechia, India, Japan, Korea (ROK), United States"
321,Tourism and Non-Governmental activities,Not yet effective,Tourism and Non-Governmental Activities,Tourism and Non-Governmental Activities,"Measure 4 (2004) - ATCM XXVII - CEP VII, Capetown","INSURANCE AND CONTINGENCY PLANNING FOR TOURISM AND  NON GOVERNMENTAL ACTIVITIES IN THE ANTARCTIC TREATY AREAThe Representatives,Concerned at the potential impacts, including the imposition of additional costs, that tourist or other non-governmental activities may have on national programmes, and the risks to the safety of those involved in search and rescue operations;Desiring to ensure that tourist or other non-governmental activities undertaken in Antarctica are carried out in a safe and self-sufficient manner;Desiring further to ensure that the risks associated with tourism or other non-governmental activities are fully identified in advance, and minimised;Noting that the ""Procedures to be Followed by Organisers and Operators"", as set out in the Attachment to Recommendation XVIII-1, contain some elements relating to self-sufficiency and insurance;Recommend to their Governments the following Measure for approval in accordance with paragraph 4 of Article IX of the Antarctic Treaty:That Parties shall require those under their jurisdiction organising or conducting tourist or other non-governmental activities in the Antarctic Treaty Area, for which advance notification is required in accordance with Article VII (5) of the Antarctic Treaty, to demonstrate compliance with the following requirements:- that appropriate contingency plans and sufficient arrangements for health and safety, search and rescue (SAR), and medical care and evacuation have been drawn up and are in place prior to the start of the activity.  Such plans and arrangements shall not be reliant on support from other operators or national programmes without their express written agreement; and- that adequate insurance or other arrangements are in place to cover any costs associated with search and rescue and medical care and evacuation.",Measure 4,2004,ATCM XXVII,CEP VII,Capetown,"Argentina, Australia, Belgium, Chile, Czechia, Ecuador, Finland, France, Japan, Netherlands, New Zealand, Norway, Poland, Russian Federation, South Africa, Spain, Ukraine, United Kingdom, Uruguay","Brazil, Bulgaria, China, Germany, India, Italy, Korea (ROK), Peru, Sweden, United States"
277,"Extension of expiry dates for SSSI 4 (Cape Crozier), 5 (Fildes Peninsula), 6 (Byers Peninsula), 7 (Haswell Island), 18 (Northwest White Island), 33 (Ardley Island), 35 (Bransfield Strait) and 36 (Dallman Bay)",Did not enter into effect. Withdrawn:M 4 (2011),Area protection and management,Area protection and management,"Measure 3 (2001) - ATCM XXIV - CEP IV, St. Petersburg","ANTARCTIC PROTECTED AREAS SYSTEM:EXTENSION OF EXPIRY DATES FOR CERTAIN SITES OF SPECIAL SCIENTIFIC INTERESTThe Representatives,Recalling Recommendations VIII-4, XIII-8, XII-8, XVI-2, and XVI-3 adopting the Management Plans for Sites of Special Scientific Interest numbers 4, 5, 6, 7, 18, 33, 35, and 36;Noting that the expiry date for these sites is 31 December 2001, but wishing to continue to protect these sites until such time their respective management plans have been revised in accordance with Annex V to the Environmental Protocol;Recommend to their Governments the following Measure for approval in accordance with paragraph 4 of Article IX of the Antarctic Treaty:That the date of expiry of the management plans in the list annexed to this Measure be extended until 31 December 2005, and that this Measure be applied provisionally, to the fullest extent possible consistent with their Governments' domestic laws and regulations, pending such approval.Annex to Measure 3(2001)SSSI Number 4 Cape Crozier, Ross IslandSSSI Number 5 Fildes Peninsula, King George Island, South Shetland IslandsSSSI Number 6 Byers Peninsula, Livingston Island, South Shetland IslandsSSSI Number 7 Haswell IslandSSSI Number 18 North-west White Island, McMurdo SoundSSSI Number 33 Ardley Island, Maxwell Bay, King George IslandSSSI Number 35 Western Bransfield Strait, off Low Island, South Shetland IslandsSSSI Number 36 East Dallman Bay, off Brabant Island",Measure 3,2001,ATCM XXIV,CEP IV,,"Australia, Belgium, Brazil, Chile, China, Czechia, Ecuador, Finland, France, Germany, India, Japan, Korea (ROK), Netherlands, New Zealand, Norway, Peru, Poland, Russian Federation, South Africa, Sweden, United States, Uruguay","Argentina, Bulgaria, Italy, Spain, Ukraine, United Kingdom"
276,Historic Monument 76 (Ruins of Base Pedro Aguirre Cerda),Did not enter into effect. No longer current:M 3 (2003),Historic Sites and MonumentsArea protection and management,Historic Sites and MonumentsArea protection and management,"Measure 2 (2001) - ATCM XXIV - CEP IV, St. Petersburg","ANTARCTIC PROTECTED AREA SYSTEM HISTORIC SITES AND MONUMENTSRUINS OF THE BASE PEDRO AGUIRRE CERDA, PENDULUM COVE, DECEPTION ISLAND, ANTARCTICAThe Representatives,Recalling Recommendations I-IX, VI-14, VII-9, XII-7, XIII-16, XIV-8;Acknowledging the significance of the ruins of the base Pedro Aguirre Cerda, Deception Island:- to Chilean Antarctic history;- to early meteorological and volcanological recordings in Antarctica;- as an example of historic damage to a base by a natural phenomena,Recommend to their Governments the following Measure for approval in accordance with paragraph 4 of Article IX of the Antarctic Treaty:The following site be added to the ""List of Historic Monuments identified and described by the Proposing Government or Governments"" annexed to Recommendation VII-9 and thereafter it be accorded the respect and protection required by the Recommendations recalled above:The ruins of the base Pedro Aguirre Cerda, being a Chilean meteorological and volcanological center situated at Pendulum Cove, Deception Island, Antarctica, that was destroyed by volcanic eruptions in 1967 and 1969.",Measure 2,2001,ATCM XXIV,CEP IV,,"Australia, Belgium, Brazil, Chile, China, Czechia, Finland, France, Germany, India, Japan, Korea (ROK), Netherlands, New Zealand, Norway, Peru, Poland, Russian Federation, South Africa, Sweden, United Kingdom, United States, Uruguay","Argentina, Bulgaria, Ecuador, Italy, Spain, Ukraine"
275,Historic Monument 75 ('A' Hut of Scott Base),Did not enter into effect. No longer current:M 3 (2003),Historic Sites and MonumentsArea protection and management,Historic Sites and MonumentsArea protection and management,"Measure 1 (2001) - ATCM XXIV - CEP IV, St. Petersburg","ANTARCTIC PROTECTED AREA SYSTEM HISTORIC SITES AND MONUMENTS""A HUT"", SCOTT BASE, ROSS SEA REGION, ANTARCTICAThe Representatives,Recalling Recommendations I-IX, VI-14, VII-9, XII-7, XIII-16, XIV-8;Acknowledging the significance of ""A Hut"", Scott Base to:- New Zealand Antarctic history- the establishment of Scott Base- early scientific investigation in the Ross Sea Region- the involvement of New Zealand in the International Geophysical Year 1957- connections between Antarctica and New Zealand- the Commonwealth Trans Antarctic Expedition 1956/1957Recommend to their Governments the following Measure for approval in accordance with paragraph 4 of Article IX of the Antarctic Treaty:The following building be added to the ""List of Historic Monuments Identified and Described by the Proposing Government or Governments"" annexed to Recommendation VII-9 and that thereafter it be accorded the respect and protection required by the Recommendations recalled above:The A Hut of Scott Base, being the only existing Trans Antarctic Expedition 1956/1957 building in Antarctica sited at Pram Point, Ross Island, Ross Sea Region, Antarctica.",Measure 1,2001,ATCM XXIV,CEP IV,,"Australia, Belgium, Brazil, Chile, China, Czechia, Finland, France, Germany, India, Japan, Korea (ROK), Netherlands, New Zealand, Norway, Peru, Poland, Russian Federation, South Africa, Sweden, United Kingdom, United States, Uruguay","Argentina, Bulgaria, Ecuador, Italy, Spain, Ukraine"
271,"Extension of expiry dates for SSSI 1 (Cape Royds), 2 (Arrival Heights), 3 (Barwick Valley), 16 (Bailey Peninsula), 20 (Biscoe Point), 21 (Deception Island), 24 (Mount Melbourne), 25 (Marine Plain), 26 (Chile Bay), 27 (Port Foster), 28 (South Bay), 29 (Ablation Point), 31 (Mount Flora) and 32 (Cape Shirreff)",Did not enter into effect. Withdrawn:M 5 (2009),Area protection and management,Area protection and management,"Measure 2 (2000) - SATCM XII - CEP III, The Hague","ANTARCTIC PROTECTED AREAS SYSTEM.EXTENSION OF EXPIRY DATES FOR CERTAIN SITES OF SPECIAL SCIENTIFIC INTERESTThe Representatives,Recalling Recommendations VIII-4, XIII-8, XIV-5, XV-6 and XV-7 adopting the Management Plans for Sites of Special Scientific Interest numbers 1, 2, 3, 16, 20, 21, 24, 25, 26, 27, 28, 29, 31 and 32;Noting that the expiry date for these sites is 31 December 2000, but wishing to continue to protect these sites, until such time that their respective Management Plans have been revised in accordance with Annex V of the Environmental Protocol;Recommend to their Governments the following Measure for approval in accordance with paragraph 4 of Article IX of the Antarctic Treaty.That the date of expiry of the management plans in the list annexed to this Measure be extended until 31 December 2005, and that this Measure be applied provisionally, to the fullest extent possible consistent with their Governments' domestic laws and regulations, pending such approval.Annex to Measure 2 (2000)SSSI Number 1   Cape Royds, Ross IslandSSSI Number 2   Arrival Heights, Hut Point Peninsula, Ross IslandSSSI Number 3   Barwick Valley, Victoria LandSSSI Number 16  North-Eastern Bailey Peninsula, Budd CoastSSSI Number 20  Biscoe Point, Anvers IslandSSSI Number 21  Parts of Deception Island, South Shetland IslandsSSSI Number 24  Summit of Mount Melbourne, Northern Victoria LandSSSI Number 25  Marine Plain, Mule Peninsula, Vestfold HillsSSSI Number 26  Chile Bay, (Discovery Bay), Greenwich IslandSSSI Number 27  Port Foster, Deception Island, South Shetland IslandsSSSI Number 28  South Bay, Doumer Island, Palmer  ArchipelagoSSSI Number 29  Ablation Point-Ganymede Heights, Alexander IslandSSSI Number 31  Mount Flora, Hope Bay, Antarctic PeninsulaSSSI Number 32  Cape Shirreff, Livingstone Island, South Shetland Islands",Measure 2,2000,ATCM XII,CEP III,,"Australia, Belgium, Brazil, Chile, China, Finland, Germany, India, Netherlands, New Zealand, Peru, Russian Federation, South Africa, Sweden, United States, Uruguay","Argentina, Bulgaria, Czechia, Ecuador, France, Italy, Japan, Korea (ROK), Norway, Poland, Spain, Ukraine, United Kingdom"
270,"Revised management plans for SPA 14 (Lynch Island), 19 (Lagotellerie Island), 20 (New College Valley, also incorporating SSSI 10 (Caughley Beach)), SSSI 8 (Admiralty Bay), 17 (Clark Peninsula), 22 (Yukidori Valley), and 34 (Lions Rump)",Did not enter into effect. Withdrawn:D 3 (2017),Area protection and management,Area protection and management,"Measure 1 (2000) - SATCM XII - CEP III, The Hague","ANTARCTIC PROTECTED AREAS SYSTEM:REVISED MANAGEMENT PLANS FOR SPECIALLY PROTECTED AREAS AND SITES OF SPECIAL SCIENTIFIC INTEREST.The Representatives,Recalling Resolution 1 (1998) allocating responsibility among Consultative Parties for the revision of Management Plans for protected areas;Recommend to their Governments the following Measure for approval in accordance with paragraph 4 of Article IX of the Antarctic Treaty:1. That the Management Plan for Specially Protected Area N° 14, attached to this Measure, be inserted in the Annex to Recommendation IV-14 to replace the plan previously annexed to that Recommendation.2. That the Management Plan for Specially Protected Area N° 19, attached to this Measure, be inserted in the Annex to Recommendation XIII-11 to replace the plan previously annexed to that Recommendation.3. That the Management Plan for Specially Protected Area N° 20, attached to this Measure, be inserted in the Annex to Recommendation XIII-12 to replace the plan previously annexed to that Recommendation, and that thereupon SSSI No 10, as designated by Recommendation XIII-8, shall cease to exist.4. That the Management Plan for Site of Special Scientific Interest N° 8, attached to this Measure, be inserted in the Annex to Recommendation X-5 to replace the plan previously annexed to that Recommendation.5. That the Management Plan for Site of Special Scientific Interest N° 17, attached to this Measure, be inserted in the Annex to Recommendation XIII-8 to replace the plan previously annexed to that Recommendation.6. That the Management Plan for Site of Special Scientific Interest N° 22, attached to this Measure, be inserted in the Annex to Recommendation XIV-5 to replace the plan previously annexed to that Recommendation.7. That the Management Plan for Site of Special Scientific Interest N° 34, attached to this Measure, be inserted in the Annex to Recommendation XVI-2 to replace the plan previously annexed to that Recommendation.8. That the Parties ensure that their nationals comply with the mandatory provisions of the revised management plans.",Measure 1,2000,ATCM XII,CEP III,,"Australia, Belgium, Brazil, Chile, China, Czechia, Ecuador, Finland, France, Germany, India, Korea (ROK), Netherlands, New Zealand, Peru, Russian Federation, South Africa, Sweden, United Kingdom, United States, Uruguay","Argentina, Bulgaria, Italy, Japan, Norway, Poland, Spain, Ukraine"
261,Revised management plan for SSSI 23 (Svarthamaren),Did not enter into effect. Withdrawn:M 8 (2009),Area protection and management,Area protection and management,"Measure 1 (1999) - ATCM XXIII -  CEP II, Lima","ANTARCTIC PROTECTED AREAS SYSTEM:REVISED MANAGEMENT PLAN FOR SITE OF SPECIAL SCIENTIFIC INTEREST NO 23SVARTHAMARENThe Representatives,Recommend to their Governments the following Measure for approval in accordance with paragraph 4 of Article IX of the Antarctic Treaty:1. That the Management Plan for SSSI N° 23, attached to this Measure, be inserted in the Annex to Recommendation XIII-8 to replace the plan previously annexed to that Recommendation.2. That the Consultative Parties ensure that their nationals comply with the mandatory provisions of the revised management plan.",Measure 1,1999,ATCM XXIII,CEP II,Lima,"Argentina, Australia, Belgium, Brazil, Chile, China, Finland, France, Germany, India, Netherlands, New Zealand, Peru, Poland, Russian Federation, South Africa, Spain, Sweden, United Kingdom, United States, Uruguay","Bulgaria, Czechia, Ecuador, Italy, Japan, Korea (ROK), Norway, Ukraine"
250,Historic Monument 74 (Elephant Island),Did not enter into effect. No longer current:M 3 (2003),Historic Sites and MonumentsArea protection and management,Historic Sites and MonumentsArea protection and management,"Measure 2 (1998) - ATCM XXII - CEP I, Tromsø","ANTARCTIC PROTECTED AREAS SYSTEM: HISTORIC SITES AND MONUMENTS. SOUTH-WEST COAST OF ELEPHANT ISLAND, SOUTH SHETLAND ISLANDSThe Representatives,Recalling Recommendations I-IX, VI-14, VII-9, XII-7, XIII-16 and XIV-8;Noting the urgent need to protect the site containing wreckage from a large wooden sailing ship on the south-west coast of Elephant Island;Aware that the identity of this wreckage is still not known and that further investigation at the site may be necessary to determine the historical significance of the wreckage;Considering that Historic Site status should be conferred on the site;Recommend to their Governments the following Measure for approval in accordance with paragraph 4 of Article IX of the Antarctic Treaty:The following site be added to the ""List of Historic Monuments Identified and Described by the Proposing Government or Governments"" annexed to Recommendation VII-9 and that thereafter it be accorded the respect and protection required by the Recommendations recalled above:The south-west coast of Elephant Island between the southern side of Mensa Bay (61°10'S, 55°24'W) and Cape Lookout (61°17'S, 55°13'W), including all of the foreshore and intertidal areas, in which the wreckage of a large wooden sailing ship has been found.",Measure 2,1998,ATCM XXII,CEP I,Tromsø,"Argentina, Australia, Belgium, Brazil, Chile, China, Czechia, Finland, France, Germany, India, Korea (ROK), Netherlands, New Zealand, Peru, Poland, Russian Federation, South Africa, Spain, Sweden, United Kingdom, United States, Uruguay","Bulgaria, Ecuador, Italy, Japan, Norway, Ukraine"
