Year,Delegates Level,,,,,,,Working Groups,,,,,,,,,,,,,,,,,,,,,,,Groups of Specialists,,,,,,,,,,,,,,,,,,,,Standing Scientific Groups,,,Standing Committees,,,,,Scientific Research Programs,,,,,,,,,,,,,
Year,Meeting location,President,VP1,VP2,VP3,VP4,Secretaries,Cartography,Exchange Info,Met & Physical Ocean,Program,Biology,Upper At Phys,Meteorol,Geology,Crustal Geophys,Oceanography,Comms,Nat Reports,Logistics,Geodesy & Cartog,Geomagnetism,Glaciology,Solid-Earth Geop,Human Biol Med,Geodesy & Geograp Info,Atmospheric Sci,Phys Chem Atmos,Solar-Terrestrial,Geoscience,Seals,Ice Shelf Drill,Late Cenoz,SO Ecosyst,EAMREA,AEIMEE,Ant Clim Res,Sea ice,Biomass exec,SO Ecology,Lithosphere,Cenozoic paleo,Env Affairs Conserv,GC and Antarctc,Neotect,Subglacial,Ant data,ADM,Reorg,JCADM,Geosciences,Life Sciences,Physical Sciences,Finance,Antarctic Treaty,Geographic Info,Data Managament,HASS,ACE,AGCS,EBA,ICESTAR,SALE,PAIS,SERCE,AAA,AntClim21,AntEco,Ant-ERA,AntClimNow,INSTANT,Ant_ICON
1958,Netherlands & USSR,France,Australia,,,,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,Australia,France,Australia,,,,Sweden & UK,France,UK,US,US,Australia,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,United Kingdom,France,Australia,,,,UK,France,,,,Australia,Australia,Australia,New Zealand,Australia,USSR,UK,Belgium,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,New Zealand,France,Australia,,,,UK,France,,,,Australia,Australia,Australia,New Zealand,Australia,USSR,UK,Belgium,USA & New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,United States,France,Australia & Argentina,,,,UK,,,,,Australia,Australia,Australia,New Zealand,Australia,USSR & USA,UK,Belgium,New Zealand,France,Japan,UK,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,South Africa,France & USA,Argentina,,,,UK,,,,,Australia,Australia,Australia & USA,New Zealand,,USA,UK,,New Zealand,France,Japan,UK,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,France,USA,Argentina,,,,UK,,,,,Australia & UK,Australia,USA,New Zealand,,USA & USSR,UK,,New Zealand,France,Japan,UK,Australia & New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,,USA,Argentina,,,,UK,,,,,UK,AustraliaFrance,USA,New Zealand,,USSR,UK,,New Zealand & France,France,Japan,UK,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,Chile,USA,Argentina,,,,UK,,,,,UK,France & Japan,USA,New Zealand & UK,,USSR,UK,,France,France & Australia,Japan,UK & USSR,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,,USA,Argentina,,,,UK,,,,,UK,Japan,USA,UK,,USSR,,,France & Belgium,Australia,,USSR,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
