,year,country,value
0,2013,argentina,53
1,2013,armenia,1
2,2013,australia,142
3,2013,austria,18
4,2013,barbados,2
5,2013,belarus,1
6,2013,belgium,45
7,2013,bolivia,2
8,2013,brazil,46
9,2013,bulgaria,4
10,2013,canada,74
11,2013,chile,38
12,2013,china,111
13,2013,colombia,6
14,2013,costa rica,1
15,2013,croatia,1
16,2013,czechia,12
17,2013,denmark,30
18,2013,ecuador,1
19,2013,egypt,1
20,2013,estonia,7
21,2013,finland,25
22,2013,france,132
23,2013,gambia,1
24,2013,germany,170
25,2013,greece,4
26,2013,guatemala,1
27,2013,hungary,6
28,2013,iceland,1
29,2013,india,48
30,2013,indonesia,2
31,2013,iran,3
32,2013,ireland,5
33,2013,israel,3
34,2013,italy,95
35,2013,jamaica,1
36,2013,japan,99
37,2013,kenya,1
38,2013,lebanon,1
39,2013,madagascar,1
40,2013,malaysia,15
41,2013,mexico,5
42,2013,mongolia,2
43,2013,morocco,1
44,2013,mozambique,2
45,2013,namibia,1
46,2013,netherlands,51
47,2013,new zealand,97
48,2013,niger,1
49,2013,nigeria,1
50,2013,norway,52
51,2013,peru,1
52,2013,poland,30
53,2013,portugal,14
54,2013,republic of korea,41
55,2013,romania,8
56,2013,russia,35
57,2013,saudi arabia,1
58,2013,serbia,3
59,2013,singapore,1
60,2013,south africa,31
61,2013,spain,129
62,2013,sweden,46
63,2013,switzerland,35
64,2013,taiwan,4
65,2013,tanzania,1
66,2013,thailand,1
67,2013,tunisia,2
68,2013,turkey,6
69,2013,ukraine,3
70,2013,united arab emirates,1
71,2013,united kingdom,270
72,2013,united states,459
73,2013,uruguay,5
74,2013,venezuela,2
75,2013,zimbabwe,1
76,2014,argentina,49
77,2014,australia,165
78,2014,austria,9
79,2014,belgium,30
80,2014,bolivia,2
81,2014,brazil,47
82,2014,bulgaria,5
83,2014,canada,57
84,2014,chile,37
85,2014,china,103
86,2014,colombia,4
87,2014,croatia,2
88,2014,cuba,1
89,2014,cyprus,1
90,2014,czechia,11
91,2014,denmark,26
92,2014,ecuador,3
93,2014,egypt,1
94,2014,estonia,2
95,2014,ethiopia,1
96,2014,finland,15
97,2014,france,108
98,2014,germany,161
99,2014,greece,2
100,2014,iceland,3
101,2014,india,40
102,2014,iran,2
103,2014,israel,3
104,2014,italy,70
105,2014,japan,61
106,2014,lithuania,1
107,2014,luxembourg,1
108,2014,malaysia,7
109,2014,maldives,1
110,2014,mexico,8
111,2014,monaco,2
112,2014,nepal,1
113,2014,netherlands,46
114,2014,new zealand,99
115,2014,norway,41
116,2014,panama,1
117,2014,papua new guinea,1
118,2014,peru,6
119,2014,poland,31
120,2014,portugal,18
121,2014,republic of korea,41
122,2014,romania,3
123,2014,russia,45
124,2014,samoa,1
125,2014,saudi arabia,1
126,2014,serbia,2
127,2014,singapore,1
128,2014,slovenia,1
129,2014,south africa,21
130,2014,spain,81
131,2014,sri lanka,1
132,2014,sweden,37
133,2014,switzerland,35
134,2014,taiwan,5
135,2014,thailand,2
136,2014,tonga,2
137,2014,turkey,1
138,2014,ukraine,5
139,2014,united arab emirates,1
140,2014,united kingdom,237
141,2014,united states,444
142,2014,uruguay,3
143,2014,venezuela,1
144,2015,albania,1
145,2015,argentina,57
146,2015,australia,161
147,2015,austria,13
148,2015,bangladesh,1
149,2015,belgium,41
150,2015,brazil,63
151,2015,bulgaria,3
152,2015,canada,70
153,2015,chile,38
154,2015,china,122
155,2015,colombia,5
156,2015,croatia,1
157,2015,cuba,2
158,2015,cyprus,1
159,2015,czechia,19
160,2015,denmark,30
161,2015,ecuador,3
162,2015,egypt,4
163,2015,estonia,1
164,2015,finland,14
165,2015,france,107
166,2015,germany,157
167,2015,greece,3
168,2015,honduras,1
169,2015,hungary,3
