,year,country,value
0,2001,new zealand,2
1,2001,poland,1
2,2001,ccamlr,2
3,2001,australia,5
4,2001,japan,2
5,2001,chile,4
6,2001,germany,2
7,2001,united kingdom,4
8,2001,russia,4
9,2001,czechia,1
10,2001,iaato,2
11,2001,sweden,3
12,2001,asoc,3
13,2001,uruguay,2
14,2001,netherlands,1
15,2001,spain,2
16,2001,argentina,2
17,2001,south africa,1
18,2001,italy,1
19,2001,norway,3
20,2001,finland,1
21,2001,china,1
22,2001,bulgaria,1
23,2001,peru,1
24,2001,belgium,2
25,2001,india,1
26,2001,united states,2
27,2001,comnap,1
28,2002,united kingdom,7
29,2002,new zealand,7
30,2002,australia,9
31,2002,japan,5
32,2002,iaato,8
33,2002,chile,4
34,2002,asoc,11
35,2002,comnap,5
36,2002,united states,4
37,2002,czechia,2
38,2002,poland,4
39,2002,italy,3
40,2002,russia,3
41,2002,romania,3
42,2002,china,4
43,2002,peru,1
44,2002,uruguay,3
45,2002,france,2
46,2002,ukraine,3
47,2002,brazil,3
48,2002,spain,1
49,2002,south africa,1
50,2002,netherlands,1
51,2002,finland,1
52,2002,scar,3
53,2002,ccamlr,2
54,2002,iucn,1
55,2002,wmo,1
56,2002,bulgaria,2
57,2002,estonia,1
58,2002,argentina,2
59,2002,republic of korea,1
60,2002,germany,1
61,2003,united kingdom,8
62,2003,new zealand,3
63,2003,norway,2
64,2003,scar,7
65,2003,netherlands,2
66,2003,czechia,3
67,2003,australia,11
68,2003,spain,5
69,2003,iaato,8
70,2003,iucn,2
71,2003,russia,7
72,2003,uruguay,6
73,2003,india,3
74,2003,chile,9
75,2003,united states,5
76,2003,italy,5
77,2003,argentina,6
78,2003,romania,3
79,2003,japan,4
80,2003,france,3
81,2003,brazil,2
82,2003,peru,1
83,2003,bulgaria,1
84,2003,estonia,1
85,2003,sweden,1
86,2003,china,2
87,2003,south africa,1
88,2003,finland,1
89,2003,germany,1
90,2003,belgium,1
91,2003,republic of korea,3
92,2003,poland,2
93,2003,asoc,7
94,2003,unep,1
95,2003,greece,1
96,2003,ccamlr,1
97,2003,comnap,2
98,2003,iho,1
99,2003,ukraine,1
100,2004,germany,6
101,2004,russia,9
102,2004,unep,2
103,2004,south africa,4
104,2004,czechia,4
105,2004,new zealand,6
106,2004,iucn,1
107,2004,australia,13
108,2004,asoc,5
109,2004,iaato,3
110,2004,france,2
111,2004,italy,4
112,2004,japan,2
113,2004,comnap,5
114,2004,united states,3
115,2004,sweden,1
116,2004,norway,2
117,2004,india,4
118,2004,netherlands,4
119,2004,china,3
120,2004,uruguay,3
121,2004,estonia,1
122,2004,spain,2
123,2004,chile,3
124,2004,belgium,2
125,2004,united kingdom,3
126,2004,republic of korea,3
127,2004,ukraine,3
128,2004,finland,1
129,2004,scar,5
130,2004,ccamlr,1
131,2004,peru,1
132,2004,ecuador,1
133,2004,poland,1
134,2004,iho,1
135,2005,germany,5
136,2005,new zealand,7
137,2005,spain,2
138,2005,unep,2
139,2005,asoc,6
140,2005,italy,5
141,2005,united states,5
142,2005,united kingdom,5
143,2005,australia,8
144,2005,iucn,3
145,2005,uruguay,8
146,2005,chile,5
147,2005,brazil,3
148,2005,south africa,3
149,2005,czechia,3
150,2005,scar,4
151,2005,norway,1
152,2005,belgium,2
153,2005,india,3
154,2005,france,4
155,2005,netherlands,1
156,2005,sweden,3
157,2005,china,4
158,2005,ats,2
159,2005,argentina,3
160,2005,ecuador,4
161,2005,ukraine,4
162,2005,japan,5
163,2005,republic of korea,2
164,2005,russia,4
165,2005,iaato,9
166,2005,comnap,3
167,2005,romania,3
168,2005,ccamlr,1
169,2005,poland,1
170,2005,iho,1
171,2006,france,4
172,2006,chile,5
173,2006,argentina,7
174,2006,belarus,1
175,2006,united kingdom,11
176,2006,australia,11
177,2006,new zealand,8
178,2006,asoc,9
179,2006,scar,6
180,2006,belgium,3
181,2006,iho,1
182,2006,iucn,3
183,2006,comnap,5
184,2006,russia,7
185,2006,uruguay,4
186,2006,canada,1
187,2006,republic of korea,3
188,2006,japan,4
189,2006,iaato,7
190,2006,italy,3
191,2006,romania,5
192,2006,united states,7
193,2006,south africa,2
194,2006,germany,1
195,2006,netherlands,1
196,2006,czechia,1
197,2006,china,3
198,2006,spain,2
199,2006,ukraine,2
200,2006,ipy-ipo,1
201,2006,norway,1
202,2006,sweden,1
203,2006,ccamlr,1
204,2006,india,3
205,2006,ecuador,1
206,2007,germany,8
207,2007,chile,13
208,2007,asoc,11
209,2007,unep,3
210,2007,scar,9
211,2007,united kingdom,10
212,2007,india,7
213,2007,belgium,2
214,2007,ccamlr,2
215,2007,acap,1
216,2007,comnap,4
217,2007,united states,6
218,2007,republic of korea,4
219,2007,japan,5
220,2007,new zealand,8
221,2007,italy,3
222,2007,romania,5
223,2007,brazil,3
224,2007,uruguay,4
225,2007,ecuador,5
226,2007,peru,5
227,2007,france,3
228,2007,netherlands,2
229,2007,russia,5
230,2007,ukraine,4
231,2007,australia,10
232,2007,spain,4
233,2007,china,2
234,2007,iaato,5
235,2007,argentina,4
236,2007,ipy-ipo,1
237,2007,poland,1
238,2007,norway,1
239,2007,iucn,2
240,2007,venezuela,1
241,2007,iho,1
242,2007,finland,2
243,2007,belarus,1
244,2008,germany,3
245,2008,asoc,6
246,2008,romania,6
247,2008,new zealand,7
248,2008,united states,9
249,2008,australia,8
250,2008,russia,7
251,2008,united kingdom,12
252,2008,scar,4
253,2008,bulgaria,2
254,2008,spain,3
255,2008,china,4
256,2008,india,7
257,2008,acap,1
258,2008,comnap,5
259,2008,france,2
260,2008,republic of korea,3
261,2008,argentina,4
262,2008,ukraine,4
263,2008,ecuador,4
264,2008,chile,8
265,2008,brazil,3
266,2008,japan,5
267,2008,uruguay,4
268,2008,belgium,1
269,2008,south africa,2
270,2008,italy,1
271,2008,peru,2
272,2008,ipy-ipo,1
273,2008,norway,3
274,2008,iho,1
275,2008,ccamlr,1
276,2008,iucn,1
277,2008,finland,1
278,2008,czechia,2
279,2008,venezuela,2
280,2008,iaato,7
281,2009,germany,3
282,2009,italy,2
283,2009,russia,6
284,2009,scar,10
285,2009,sweden,1
286,2009,belgium,2
287,2009,finland,2
288,2009,france,1
289,2009,netherlands,1
290,2009,spain,2
291,2009,argentina,5
292,2009,unep,1
293,2009,brazil,5
294,2009,asoc,9
295,2009,india,5
296,2009,acap,2
297,2009,comnap,2
298,2009,republic of korea,3
299,2009,chile,9
300,2009,ecuador,6
301,2009,united states,8
302,2009,romania,8
