,year,country,value
0,2000,netherlands,0.3281869819
1,2000,new zealand,1.7367003229
2,2000,united kingdom,0.9511524943
3,2000,united states,0.3121471828
4,2001,argentina,0.9727667346
5,2001,australia,1.0754247449
6,2001,belgium,0.3502164442
7,2001,brazil,0.2917872893
8,2001,chile,0.6420037335
9,2001,france,0.3502164442
10,2001,germany,1.3502164442
11,2001,italy,0.5443998657
12,2001,netherlands,0.3253034002
13,2001,new zealand,3.3417010678
14,2001,norway,0.7212580023
15,2001,peru,0.2917872893
16,2001,russian federation,0.2957337545
17,2001,united kingdom,0.9768556408
18,2001,united states,0.8928524756
19,2001,uruguay,0.6162674449
20,2002,argentina,0.936955015
21,2002,australia,0.6165524501
22,2002,belgium,0.3071455536
23,2002,chile,0.3071455536
24,2002,france,0.6401831712
25,2002,germany,0.7764819622
26,2002,japan,0.1815968257
27,2002,netherlands,1.3735550183
28,2002,new zealand,1.3744031354
29,2002,norway,0.325782469
30,2002,peru,0.325782469
31,2002,united kingdom,3.5807094651
32,2002,united states,1.2998143956
33,2003,argentina,1.6876808151
34,2003,australia,2.694659689
35,2003,brazil,0.6625099188
36,2003,chile,1.0279937874
37,2003,france,0.303347966
38,2003,germany,0.9876727761
39,2003,italy,2.5948173063
40,2003,japan,0.3490489075
41,2003,new zealand,2.0098089806
42,2003,norway,0.3359418744
43,2003,peru,0.6625099188
44,2003,russian federation,0.3359418744
45,2003,spain,0.6286433883
46,2003,united kingdom,2.5131972689
47,2003,united states,1.5401103899
48,2003,uruguay,0.3127144382
49,2004,argentina,2.5239834656
50,2004,australia,9.9136185325
51,2004,belgium,2.4853862243
52,2004,brazil,0.863875562
53,2004,chile,4.3348971918
54,2004,france,1.310405322
55,2004,germany,2.6690653304
56,2004,india,1.5628103354
57,2004,italy,0.2552922487
58,2004,japan,0.317480157
59,2004,netherlands,0.9131819102
60,2004,new zealand,4.2937437172
61,2004,norway,3.677930915
62,2004,peru,0.3320927453
63,2004,poland,0.4560146844
64,2004,russian federation,1.0276997582
65,2004,south africa,0.6592192738
66,2004,united kingdom,13.0061693464
67,2004,united states,6.3035016529
68,2004,uruguay,1.0796634936
69,2005,argentina,5.7388050911
70,2005,australia,7.7089443923
71,2005,chile,2.3285079316
72,2005,france,0.659937451
73,2005,germany,0.7000065237
74,2005,italy,0.4786396928
75,2005,japan,0.6100508456
76,2005,netherlands,1.363672711
77,2005,new zealand,6.4178815352
78,2005,norway,2.7063235335
79,2005,peru,0.980975334
80,2005,spain,1.0
81,2005,sweden,0.886705607
82,2005,united kingdom,12.1432418642
83,2005,united states,7.7744087964
84,2006,argentina,1.0319962473
85,2006,australia,1.4187266237
86,2006,brazil,1.0
87,2006,chile,0.5988350062
88,2006,france,0.5056287615
89,2006,germany,0.4954752163
90,2006,india,0.2485066946
91,2006,italy,0.2675973238
92,2006,netherlands,0.428569031
93,2006,new zealand,0.7330482033
94,2006,norway,0.9466231088
95,2006,peru,0.3395039905
96,2006,poland,0.6605624496
97,2006,united kingdom,4.2458645439
98,2006,united states,2.0431690623
99,2007,argentina,2.516817896
100,2007,australia,4.8687163939
101,2007,belgium,0.333689103
102,2007,chile,0.7760999883
103,2007,china,0.686607923
104,2007,france,1.0118421887
105,2007,germany,0.6029813104
106,2007,india,0.3750244936
107,2007,italy,0.25070396
108,2007,japan,0.3311881643
109,2007,netherlands,1.1553164967
110,2007,new zealand,1.8555642074
111,2007,norway,0.9354757726
112,2007,peru,0.2681568947
113,2007,romania,0.3750244936
114,2007,russian federation,0.686607923
115,2007,south africa,0.333689103
116,2007,united kingdom,5.5877544287
117,2007,united states,2.5849887681
118,2008,argentina,2.8488324509
119,2008,australia,7.4324177953
120,2008,brazil,0.2090941196
121,2008,chile,0.2090941196
122,2008,china,1.7539257464
123,2008,germany,0.3234787701
124,2008,italy,1.0
125,2008,japan,0.3186423159
126,2008,netherlands,0.6883459622
127,2008,new zealand,4.7523636779
128,2008,norway,0.8500188048
129,2008,peru,0.2090941196
130,2008,spain,0.2090941196
131,2008,united kingdom,5.6842294461
132,2008,united states,6.6229928995
133,2009,argentina,4.0530400974
134,2009,australia,8.3640861369
135,2009,belgium,0.6189958325
136,2009,brazil,0.3469551843
137,2009,bulgaria,0.2918689923
138,2009,canada,0.3278468978
139,2009,chile,3.2412453526
140,2009,finland,0.2918689923
141,2009,france,1.2855879981
142,2009,germany,0.5389457081
143,2009,italy,0.6861546245
144,2009,korea (rok),0.6074874369
145,2009,netherlands,0.9159890981
146,2009,new zealand,4.8347578105
147,2009,norway,3.3371259028
148,2009,peru,1.0087946787
149,2009,russian federation,1.0751318819
150,2009,spain,0.2918689923
151,2009,sweden,0.5880548933
152,2009,united kingdom,4.7790242656
153,2009,united states,8.9787989989
154,2009,uruguay,0.3469551843
155,2010,argentina,2.4437206716
156,2010,australia,7.8368300899
157,2010,belgium,0.3378997298
158,2010,chile,1.1608109384
159,2010,france,0.5846241984
160,2010,germany,0.2773261873
161,2010,india,1.0
162,2010,italy,0.6774101665
163,2010,netherlands,0.530774728
164,2010,new zealand,7.4640440108
165,2010,norway,1.6419906491
166,2010,united kingdom,3.8567953493
167,2010,united states,4.8259635779
168,2010,uruguay,0.5208359917
169,2011,argentina,1.1662207346
170,2011,australia,5.3361065439
171,2011,belgium,0.2611372478
172,2011,chile,3.1787589728
173,2011,china,0.8140714911
174,2011,france,2.6989767938
175,2011,germany,0.6056020208
176,2011,italy,0.5005886343
177,2011,netherlands,1.087298729
178,2011,new zealand,4.8657033191
179,2011,russian federation,1.0
180,2011,spain,0.9435825441
181,2011,united kingdom,3.784119402
182,2011,united states,3.5884538985
183,2012,argentina,4.345713442
184,2012,australia,5.1556257501
185,2012,belgium,0.9135781957
186,2012,chile,5.2708710226
187,2012,ecuador,0.4310235509
188,2012,france,1.966032163
189,2012,germany,1.4140289334
190,2012,netherlands,1.6784730564
191,2012,new zealand,4.2947456892
192,2012,norway,2.2858651051
193,2012,russian federation,0.4075821471
194,2012,south africa,0.8670718249
195,2012,spain,2.503762696
196,2012,sweden,0.9583252354
197,2012,united kingdom,10.5737879492
198,2012,united states,5.2362180985
199,2012,uruguay,0.6689481876
200,2013,argentina,7.7000190393
201,2013,australia,7.4194509136
202,2013,belgium,1.1388067066
203,2013,chile,2.4473141764
204,2013,france,0.3401360215
205,2013,germany,1.9671612251
206,2013,india,0.1688183453
207,2013,italy,1.3870804882
208,2013,japan,0.3186103149
209,2013,netherlands,1.538938944
210,2013,new zealand,5.7732608602
211,2013,norway,1.3134865295
212,2013,poland,0.4052146121
213,2013,russian federation,0.7970333689
214,2013,south africa,0.5216670574
215,2013,sweden,0.8522715695
216,2013,united kingdom,7.5372060734
217,2013,united states,7.6464647253
218,2013,uruguay,0.6691259401
219,2014,argentina,3.9483800304
220,2014,australia,8.9063734847
221,2014,belgium,1.0600753777
222,2014,brazil,0.9557036501
223,2014,chile,3.3134290541
224,2014,china,3.0
225,2014,ecuador,0.3425821375
226,2014,finland,0.6161869983
227,2014,france,1.7339262351
228,2014,germany,0.2858266655
229,2014,india,2.0
230,2014,italy,0.2972704946
231,2014,japan,0.7170060718
232,2014,korea (rok),0.7567801381
233,2014,netherlands,2.203282503
234,2014,new zealand,3.0502578853
235,2014,norway,2.1508955582
236,2014,peru,0.9557036501
237,2014,poland,1.0941849104
238,2014,romania,0.5513018997
239,2014,russian federation,2.6710579343
240,2014,south africa,1.133482674
241,2014,spain,0.315851018
242,2014,sweden,0.5172956757
243,2014,united kingdom,5.1036699574
244,2014,united states,5.6189463569
245,2014,uruguay,0.2972704946
246,2015,argentina,2.8946651673
