,year,country,value
0,2000,Japan,1
1,2000,USA,5
2,2000,Chile,1
3,2000,South Africa,2
4,2000,France,2
5,2000,New Zealand,1
6,2000,UK,5
7,2000,Brazil,1
8,2000,China,1
9,2000,Germany,2
10,2000,Australia,4
11,2000,Italy,2
12,2000,Netherlands,1
13,2001,USA,4
14,2001,Chile,1
15,2001,South Africa,1
16,2001,France,2
17,2001,UK,4
18,2001,Brazil,1
19,2001,China,1
20,2001,Italy,2
21,2001,Australia,2
22,2001,Netherlands,1
23,2001,Germany,1
24,2002,China,2
25,2002,USA,4
26,2002,Germany,2
27,2002,Chile,1
28,2002,New Zealand,2
29,2002,South Africa,2
30,2002,Spain,1
31,2002,France,3
32,2002,UK,6
33,2002,Brazil,1
34,2002,Italy,2
35,2002,Australia,3
36,2002,Netherlands,1
37,2003,Germany,1
38,2003,New Zealand,2
39,2003,Spain,1
40,2003,France,2
41,2003,UK,3
42,2003,Australia,1
43,2003,South Africa,1
44,2004,Germany,2
45,2004,New Zealand,2
46,2004,Spain,1
47,2004,France,2
48,2004,USA,5
49,2004,UK,6
50,2004,Japan,1
51,2004,Netherlands,1
52,2004,Australia,1
53,2004,Italy,2
54,2004,South Africa,1
55,2004,Canada,1
56,2004,Finland,1
57,2005,Germany,1
58,2005,New Zealand,1
59,2005,Spain,1
60,2005,USA,5
61,2005,Japan,1
62,2005,China,1
63,2005,Netherlands,1
64,2005,Italy,2
65,2005,Canada,1
66,2005,UK,5
67,2005,Finland,1
68,2006,Australia,2
69,2006,Germany,2
70,2006,UK,6
71,2006,New Zealand,1
72,2006,Argentina,1
73,2006,Spain,1
74,2006,Italy,4
75,2006,USA,5
76,2006,China,1
77,2006,Netherlands,1
78,2006,Canada,1
79,2006,South Africa,1
80,2006,Finland,1
81,2007,UK,4
82,2007,Argentina,1
83,2007,Italy,4
84,2007,USA,5
85,2007,China,1
86,2007,Netherlands,1
87,2007,Canada,1
88,2007,South Africa,1
89,2007,Germany,1
90,2007,Australia,1
91,2007,Finland,1
92,2008,Russia,1
93,2008,UK,4
94,2008,USA,6
95,2008,Argentina,2
96,2008,Italy,4
97,2008,Netherlands,2
98,2008,China,1
99,2008,India,1
100,2008,Canada,1
101,2008,South Africa,1
102,2008,Germany,1
103,2008,Australia,2
104,2008,Finland,1
105,2009,USA,4
106,2009,Argentina,2
107,2009,Italy,4
108,2009,Netherlands,1
109,2009,India,1
110,2009,Canada,1
111,2009,South Africa,1
112,2009,Germany,1
113,2009,Australia,2
114,2009,UK,3
115,2009,Spain,1
116,2009,Finland,1
117,2010,Argentina,3
118,2010,USA,4
119,2010,Italy,4
120,2010,S Korea,1
121,2010,Netherlands,2
122,2010,India,1
123,2010,Canada,1
124,2010,Japan,1
125,2010,South Africa,1
126,2010,Germany,1
127,2010,Australia,2
128,2010,UK,3
129,2010,Belgium,1
130,2010,Spain,1
131,2010,Finland,1
132,2011,USA,2
133,2011,Argentina,1
134,2011,S Korea,1
135,2011,Netherlands,2
136,2011,India,1
137,2011,Canada,1
138,2011,Japan,1
139,2011,South Africa,1
140,2011,UK,3
141,2011,Belgium,1
142,2011,Australia,1
143,2011,Spain,1
144,2011,Italy,1
145,2012,United States,1
146,2012,USA,6
147,2012,Spain,3
148,2012,Argentina,1
149,2012,S Korea,1
150,2012,Netherlands,3
151,2012,Germany,2
152,2012,India,1
153,2012,New Zealand,3
154,2012,Canada,1
155,2012,Australia,4
156,2012,Japan,1
157,2012,South Africa,1
158,2012,UK,3
159,2012,Belgium,2
160,2012,Italy,1
161,2013,Spain,2
162,2013,Argentina,1
163,2013,S Korea,1
164,2013,Germany,2
165,2013,New Zealand,3
166,2013,USA,4
167,2013,Australia,3
168,2013,South Africa,1
169,2013,UK,1
170,2013,Belgium,2
171,2013,Netherlands,1
172,2014,New Zealand,4
173,2014,Spain,2
174,2014,Argentina,1
175,2014,USA,5
176,2014,S Korea,1
177,2014,Malaysia,1
178,2014,Germany,2
179,2014,Australia,4
180,2014,South Africa,1
181,2014,UK,1
182,2014,Belgium,2
183,2014,Netherlands,1
184,2015,Spain,2
185,2015,USA,5
186,2015,Malaysia,1
187,2015,Germany,2
188,2015,New Zealand,3
189,2015,Australia,4
190,2015,UK,2
191,2015,Belgium,2
192,2015,Netherlands,1
193,2016,Malaysia,2
194,2016,Spain,3
195,2016,Australia,6
196,2016,USA,5
197,2016,Germany,2
198,2016,New Zealand,3
199,2016,Brazil,2
200,2016,France,1
201,2016,UK,4
202,2016,Belgium,2
203,2016,Italy,1
204,2016,NZ,1
205,2017,Australia,5
206,2017,USA,2
207,2017,Malaysia,1
208,2017,Germany,2
209,2017,Brazil,2
210,2017,Spain,1
211,2017,France,1
212,2017,UK,4
213,2017,Belgium,2
214,2017,Italy,1
215,2017,NZ,1
216,2018,Switzerland,1
217,2018,Australia,6
218,2018,USA,2
219,2018,France,2
220,2018,Malaysia,1
221,2018,India,1
222,2018,Germany,2
223,2018,New Zealand,2
224,2018,Brazil,2
225,2018,Spain,1
226,2018,UK,4
227,2018,Belgium,2
228,2018,Italy,1
229,2018,NZ,1
230,2019,Australia,6
231,2019,France,2
232,2019,India,1
233,2019,New Zealand,2
234,2019,Brazil,2
235,2019,Spain,1
236,2019,USA,1
237,2019,UK,4
238,2019,Belgium,2
239,2019,Italy,1
240,2019,NZ,1
241,2019,Germany,1
242,2020,Australia,7
243,2020,France,2
244,2020,India,1
245,2020,New Zealand,2
246,2020,Brazil,2
247,2020,Spain,1
248,2020,USA,1
249,2020,UK,5
250,2020,Belgium,2
251,2020,Italy,1
252,2020,NZ,1
253,2020,Germany,1
254,2021,Australia,7
255,2021,S Korea,1
256,2021,USA,3
257,2021,India,1
258,2021,New Zealand,3
259,2021,Brazil,3
260,2021,Spain,1
261,2021,France,1
262,2021,UK,5
263,2021,China,1
264,2021,Belgium,1
265,2021,Italy,2
266,2021,NZ,1
267,2021,Germany,1
268,2021,Argentina,1
269,2022,India,1
270,2022,S Korea,1
271,2022,USA,3
272,2022,Turkiye,1
273,2022,Chile,1
274,2022,Brazil,3
275,2022,France,1
276,2022,New Zealand,2
277,2022,Japan,1
278,2022,UK,3
279,2022,China,1
280,2022,Australia,3
281,2022,Norway,1
282,2022,Italy,1
283,2022,Argentina,1
284,2023,S Korea,1
285,2023,USA,1
286,2023,Turkiye,1
287,2023,Chile,1
288,2023,Brazil,3
289,2023,New Zealand,3
290,2023,Japan,1
291,2023,UK,3
292,2023,China,1
293,2023,Australia,2
294,2023,Norway,1
295,2023,Italy,1
296,2023,Argentina,1
297,2024,Chile,2
298,2024,S Korea,1
299,2024,New Zealand,4
300,2024,USA,2
301,2024,Spain,1
302,2024,Turkiye,1
303,2024,Brazil,3
304,2024,Japan,2
305,2024,UK,3
306,2024,China,1
307,2024,Australia,2
308,2024,Norway,1
309,2024,Italy,1
310,2024,Argentina,1
