,period,country,value
0,2000s,argentina,0.2016199347
1,2000s,ats,0.1285444898
2,2000s,australia,0.2134536844
3,2000s,belgium,0.185519625
4,2000s,brazil,0.1597013368
5,2000s,bulgaria,0.1484406512
6,2000s,ccamlr,0.129688448
7,2000s,chile,0.2037560187
8,2000s,china,0.1468795631
9,2000s,comnap,0.1294758765
10,2000s,ecuador,0.1333371804
11,2000s,finland,0.1843255608
12,2000s,france,0.215267866
13,2000s,germany,0.2073972195
14,2000s,india,0.1331533615
15,2000s,ipy-ipo,0.1294758765
16,2000s,italy,0.1895092124
17,2000s,japan,0.1404111604
18,2000s,korea (rok),0.1332739705
19,2000s,netherlands,0.212080434
20,2000s,new zealand,0.1815911282
21,2000s,norway,0.2039092153
22,2000s,peru,0.1601541534
23,2000s,poland,0.1382480314
24,2000s,romania,0.1367596199
25,2000s,russian federation,0.1481491797
26,2000s,scar,0.1303941451
27,2000s,south africa,0.1647889554
28,2000s,spain,0.2044088376
29,2000s,sweden,0.206085511
30,2000s,ukraine,0.1318939582
31,2000s,united kingdom,0.2344627945
32,2000s,united states,0.2128731633
33,2000s,uruguay,0.1363754311
34,2010s,argentina,0.1988944035
35,2010s,asoc,0.1397237206
36,2010s,ats,0.1203676271
37,2010s,australia,0.2079104818
38,2010s,belarus,0.1203676271
39,2010s,belgium,0.1728321905
40,2010s,brazil,0.1338778724
41,2010s,bulgaria,0.135183281
42,2010s,canada,0.1209341969
43,2010s,ccamlr,0.1203676271
44,2010s,chile,0.2005167501
45,2010s,china,0.1361310856
46,2010s,comnap,0.1233247469
47,2010s,czechia,0.1387611969
48,2010s,ecuador,0.1227630345
49,2010s,finland,0.1335461081
50,2010s,france,0.1767443976
51,2010s,germany,0.1592255496
52,2010s,iaato,0.1482267513
53,2010s,iho,0.1217666565
54,2010s,india,0.1282930863
55,2010s,italy,0.1364894558
56,2010s,japan,0.1415594127
57,2010s,korea (rok),0.1389504729
58,2010s,monaco,0.1212013079
59,2010s,netherlands,0.1602864585
60,2010s,new zealand,0.2049541998
61,2010s,norway,0.223924935
62,2010s,peru,0.1213622053
63,2010s,poland,0.131244597
64,2010s,portugal,0.135183281
65,2010s,romania,0.1203676271
66,2010s,russian federation,0.1331337159
67,2010s,scar,0.1523033318
68,2010s,south africa,0.1418699451
69,2010s,spain,0.1825747448
70,2010s,sweden,0.1461651053
71,2010s,ukraine,0.1258249131
72,2010s,united kingdom,0.2623042354
73,2010s,united states,0.2209622368
74,2010s,uruguay,0.1353550943
75,2010s,wmo,0.1217666565
76,2020s (incomplete),argentina,0.1285905183
77,2020s (incomplete),asoc,0.1190963083
78,2020s (incomplete),australia,0.2215887676
79,2020s (incomplete),belarus,0.0947942975
80,2020s (incomplete),belgium,0.2143697157
81,2020s (incomplete),brazil,0.1443731779
82,2020s (incomplete),bulgaria,0.1576404986
83,2020s (incomplete),ccamlr,0.0825720216
84,2020s (incomplete),chile,0.1885016183
85,2020s (incomplete),china,0.0937912817
86,2020s (incomplete),comnap,0.1256319505
87,2020s (incomplete),czechia,0.1230282655
88,2020s (incomplete),ecuador,0.0844480219
89,2020s (incomplete),estonia,0.1104204609
90,2020s (incomplete),finland,0.1823266518
91,2020s (incomplete),france,0.2062555149
92,2020s (incomplete),germany,0.1945206822
93,2020s (incomplete),iaato,0.1308044591
94,2020s (incomplete),india,0.1669907968
95,2020s (incomplete),italy,0.151449414
96,2020s (incomplete),japan,0.1141756721
97,2020s (incomplete),korea (rok),0.1481471875
98,2020s (incomplete),malaysia,0.1072228641
99,2020s (incomplete),monaco,0.0969571963
100,2020s (incomplete),netherlands,0.1638937462
101,2020s (incomplete),new zealand,0.196421788
102,2020s (incomplete),norway,0.2096420773
103,2020s (incomplete),peru,0.0976736563
104,2020s (incomplete),poland,0.149836915
105,2020s (incomplete),portugal,0.1422772733
106,2020s (incomplete),romania,0.1227381393
107,2020s (incomplete),russian federation,0.0812284886
108,2020s (incomplete),scar,0.1526906315
109,2020s (incomplete),south africa,0.1096533352
110,2020s (incomplete),spain,0.2096339346
111,2020s (incomplete),sweden,0.141549493
112,2020s (incomplete),türkiye,0.1231228154
113,2020s (incomplete),ukraine,0.09650808
114,2020s (incomplete),united kingdom,0.2927873611
115,2020s (incomplete),united states,0.2066889032
116,2020s (incomplete),uruguay,0.1437681516
117,2020s (incomplete),venezuela,0.1104204609
118,2020s (incomplete),wmo,0.1110263761
