,year,country,value
0,2001,new zealand,5.142857142857143
1,2001,ccamlr,0.5
2,2001,peru,0.6428571428571428
3,2001,russia,3.0
4,2001,comnap,1.5
5,2001,scar,0.5
6,2001,australia,3.0
7,2001,norway,3.0
8,2001,chile,1.6428571428571428
9,2001,united kingdom,3.5
10,2001,united states,2.0
11,2001,argentina,2.142857142857143
12,2001,brazil,0.14285714285714285
13,2001,italy,0.14285714285714285
14,2001,uruguay,0.14285714285714285
15,2002,united kingdom,10.0
16,2002,russia,2.0
17,2002,comnap,2.0
18,2002,new zealand,7.0
19,2002,argentina,4.833333333333334
20,2002,scar,4.0
21,2002,australia,9.0
22,2002,france,2.0
23,2002,united states,2.0
24,2002,italy,2.0
25,2002,india,1.0
26,2002,germany,1.0
27,2002,netherlands,0.5
28,2002,chile,1.0
29,2002,norway,0.3333333333333333
30,2002,peru,0.3333333333333333
31,2003,italy,3.267857142857143
32,2003,russia,1.0
33,2003,new zealand,7.0
34,2003,australia,9.125
35,2003,france,3.125
36,2003,comnap,1.0
37,2003,united states,4.5
38,2003,united kingdom,10.476190476190474
39,2003,argentina,2.142857142857143
40,2003,chile,0.3333333333333333
41,2003,norway,0.47619047619047616
42,2003,india,2.0
43,2003,germany,0.125
44,2003,finland,0.125
45,2003,netherlands,0.7678571428571428
46,2003,spain,1.125
47,2003,sweden,0.26785714285714285
48,2003,south africa,0.14285714285714285
49,2004,norway,3.416666666666667
50,2004,australia,11.833333333333332
51,2004,comnap,2.0
52,2004,argentina,5.499999999999999
53,2004,united states,2.6666666666666665
54,2004,netherlands,1.4444444444444444
55,2004,united kingdom,7.277777777777779
56,2004,india,3.0
57,2004,new zealand,2.75
58,2004,italy,2.111111111111111
59,2004,chile,2.1666666666666665
60,2004,spain,0.2777777777777778
61,2004,france,1.3611111111111112
62,2004,peru,1.0
63,2004,belgium,0.1111111111111111
64,2004,finland,0.1111111111111111
65,2004,germany,0.1111111111111111
66,2004,sweden,0.1111111111111111
67,2004,japan,1.5
68,2004,ats,1.0
69,2004,south africa,0.25
70,2005,new zealand,11.0
71,2005,sweden,1.7337662337662336
72,2005,argentina,3.6666666666666665
73,2005,united kingdom,5.309523809523809
74,2005,ats,16.0
75,2005,australia,9.476190476190476
76,2005,norway,3.2575757575757573
77,2005,france,3.2337662337662336
78,2005,comnap,1.0
79,2005,russia,2.3333333333333335
80,2005,belgium,0.23376623376623376
81,2005,chile,5.4004329004329
82,2005,germany,1.3766233766233764
83,2005,italy,0.23376623376623376
84,2005,netherlands,0.23376623376623376
85,2005,south africa,0.23376623376623376
86,2005,peru,0.47619047619047616
87,2005,finland,0.09090909090909091
88,2005,spain,0.25757575757575757
89,2005,united states,3.4761904761904763
90,2005,india,2.0
91,2005,china,0.3333333333333333
92,2005,brazil,0.5
93,2005,poland,0.5
94,2005,japan,0.6428571428571428
95,2005,scar,2.0
96,2006,brazil,0.65
97,2006,china,0.45
98,2006,germany,0.2
99,2006,republic of korea,0.2
100,2006,russia,2.45
101,2006,ats,1.0
102,2006,united kingdom,7.2
103,2006,australia,4.283333333333333
104,2006,france,5.333333333333333
105,2006,belgium,1.0
106,2006,ccamlr,1.0
107,2006,new zealand,5.166666666666667
108,2006,argentina,2.2
109,2006,india,1.0
110,2006,ukraine,1.0
111,2006,scar,4.0
112,2006,united states,1.3166666666666667
113,2006,chile,3.0
114,2006,romania,0.25
115,2006,italy,1.0
116,2006,peru,0.45
117,2006,poland,0.45
118,2006,ecuador,0.2
119,2006,uruguay,1.0
120,2006,norway,0.2
121,2007,new zealand,6.999999999999999
122,2007,united kingdom,6.166666666666666
123,2007,united states,4.833333333333333
124,2007,netherlands,1.3333333333333333
125,2007,belgium,0.3333333333333333
126,2007,france,0.6666666666666666
127,2007,norway,3.0
128,2007,india,1.2
129,2007,australia,2.033333333333333
130,2007,russia,4.2
131,2007,comnap,2.0
132,2007,scar,3.0
133,2007,chile,4.0
134,2007,sweden,0.8333333333333333
135,2007,china,1.7
136,2007,romania,0.2
137,2007,argentina,1.5
138,2007,uruguay,1.0
139,2008,new zealand,10.333333333333332
140,2008,united kingdom,9.333333333333332
141,2008,united states,9.999999999999998
142,2008,netherlands,1.0
143,2008,belgium,2.0
144,2008,australia,8.333333333333332
145,2008,china,2.5
146,2008,brazil,2.0
147,2008,norway,2.0
148,2008,scar,2.0
149,2008,france,2.5
150,2008,germany,0.5
151,2008,chile,4.666666666666667
152,2008,argentina,2.166666666666667
153,2008,republic of korea,1.0
154,2008,italy,1.0
155,2008,japan,1.0
156,2008,russia,2.0
157,2008,ukraine,0.5
158,2008,spain,0.16666666666666666
159,2009,chile,5.166666666666667
160,2009,germany,0.75
161,2009,united kingdom,11.666666666666666
162,2009,belgium,1.25
163,2009,brazil,0.125
164,2009,bulgaria,0.25
165,2009,finland,0.25
166,2009,france,2.1666666666666665
167,2009,netherlands,0.25
168,2009,sweden,0.25
169,2009,australia,6.166666666666666
170,2009,new zealand,5.916666666666667
171,2009,spain,0.29166666666666663
172,2009,russia,3.25
173,2009,united states,9.416666666666666
174,2009,south africa,1.0
175,2009,argentina,1.6666666666666667
176,2009,norway,2.6666666666666665
177,2009,ipy-ipo,0.5
178,2009,scar,0.5
179,2009,comnap,1.0
180,2009,ukraine,0.5
181,2010,united states,9.0
182,2010,united kingdom,9.166666666666666
183,2010,chile,6.333333333333333
184,2010,germany,2.0
185,2010,argentina,6.5
186,2010,australia,7.5
187,2010,scar,3.5
188,2010,netherlands,2.0
189,2010,russia,3.0
190,2010,norway,1.5
191,2010,new zealand,10.0
192,2010,romania,1.0
193,2010,uruguay,2.0
194,2010,spain,0.3333333333333333
195,2010,india,1.0
196,2010,belgium,0.5
197,2010,france,3.3333333333333335
198,2010,ukraine,0.3333333333333333
199,2011,united states,4.566666666666667
200,2011,chile,2.6666666666666665
201,2011,australia,11.366666666666667
202,2011,germany,2.9000000000000004
203,2011,united kingdom,7.866666666666667
204,2011,norway,3.3666666666666667
205,2011,russia,5.0
206,2011,uruguay,0.5
207,2011,republic of korea,1.0
208,2011,france,4.866666666666667
209,2011,spain,0.5
210,2011,new zealand,5.533333333333333
211,2011,china,1.0
212,2011,argentina,4.666666666666666
213,2011,japan,1.0
214,2011,italy,1.0
215,2011,comnap,0.5
216,2011,scar,1.5
217,2011,netherlands,1.2
218,2012,new zealand,7.777777777777777
219,2012,australia,7.11111111111111
220,2012,scar,3.1666666666666665
221,2012,united kingdom,9.81111111111111
222,2012,norway,1.9444444444444446
223,2012,comnap,1.5
224,2012,russia,3.0
225,2012,brazil,1.0
