,period,country,value
0,2000s,argentina,13
1,2000s,ats,12
2,2000s,australia,25
3,2000s,belgium,5
4,2000s,brazil,4
5,2000s,bulgaria,1
6,2000s,ccamlr,1
7,2000s,chile,11
8,2000s,china,5
9,2000s,comnap,8
10,2000s,finland,3
11,2000s,france,15
12,2000s,germany,6
13,2000s,india,3
14,2000s,italy,4
15,2000s,japan,2
16,2000s,netherlands,6
17,2000s,new zealand,20
18,2000s,norway,15
19,2000s,peru,4
20,2000s,poland,1
21,2000s,republic of korea,1
22,2000s,romania,1
23,2000s,russia,11
24,2000s,scar,8
25,2000s,south africa,3
26,2000s,spain,5
27,2000s,sweden,6
28,2000s,ukraine,1
29,2000s,united kingdom,31
30,2000s,united states,17
31,2000s,uruguay,3
32,2010s,argentina,25
33,2010s,asoc,2
34,2010s,ats,1
35,2010s,australia,26
36,2010s,belarus,1
37,2010s,belgium,11
38,2010s,brazil,2
39,2010s,bulgaria,2
40,2010s,ccamlr,1
41,2010s,chile,23
42,2010s,china,9
43,2010s,comnap,8
44,2010s,czechia,5
45,2010s,ecuador,1
46,2010s,finland,3
47,2010s,france,18
48,2010s,germany,17
49,2010s,iaato,4
50,2010s,iho,1
51,2010s,india,4
52,2010s,italy,6
53,2010s,japan,5
54,2010s,monaco,1
55,2010s,netherlands,13
56,2010s,new zealand,31
57,2010s,norway,29
58,2010s,poland,3
59,2010s,portugal,1
60,2010s,republic of korea,8
61,2010s,russia,16
62,2010s,scar,11
63,2010s,south africa,5
64,2010s,spain,11
65,2010s,sweden,6
66,2010s,ukraine,2
67,2010s,united kingdom,38
68,2010s,united states,33
69,2010s,uruguay,7
70,2010s,wmo,1
71,2020s (incomplete),argentina,15
72,2020s (incomplete),asoc,2
73,2020s (incomplete),australia,23
74,2020s (incomplete),belarus,1
75,2020s (incomplete),belgium,11
76,2020s (incomplete),brazil,1
77,2020s (incomplete),bulgaria,2
78,2020s (incomplete),ccamlr,1
79,2020s (incomplete),chile,8
80,2020s (incomplete),china,10
81,2020s (incomplete),comnap,7
82,2020s (incomplete),czechia,2
83,2020s (incomplete),ecuador,1
84,2020s (incomplete),estonia,1
85,2020s (incomplete),finland,8
86,2020s (incomplete),france,10
87,2020s (incomplete),germany,16
88,2020s (incomplete),iaato,4
89,2020s (incomplete),india,9
90,2020s (incomplete),italy,5
91,2020s (incomplete),japan,6
92,2020s (incomplete),malaysia,1
93,2020s (incomplete),monaco,2
94,2020s (incomplete),netherlands,12
95,2020s (incomplete),new zealand,22
96,2020s (incomplete),norway,20
97,2020s (incomplete),peru,1
98,2020s (incomplete),poland,4
99,2020s (incomplete),portugal,1
100,2020s (incomplete),republic of korea,5
101,2020s (incomplete),romania,1
102,2020s (incomplete),russia,5
103,2020s (incomplete),scar,11
104,2020s (incomplete),south africa,3
105,2020s (incomplete),spain,13
106,2020s (incomplete),sweden,7
107,2020s (incomplete),turkey,4
108,2020s (incomplete),ukraine,3
109,2020s (incomplete),united kingdom,28
110,2020s (incomplete),united states,22
111,2020s (incomplete),uruguay,6
112,2020s (incomplete),venezuela,1
113,2020s (incomplete),wmo,2
