,Country,Facility Population,Vessel Crew,Final Report Mentions,Final Report Interventions,Scar Leadership Positions,Affiliated Research Items,Ratification Delay,Working Paper Authorship,WP Collaboration Graph Centrality,Working Paper Idea Introduction,Measure WP Introductions,Information Paper Authorship
0,Argentina,494.75,451,2701,1586,17,914,7.0,86.95952380952382,0.17507065431561997,6.309523809523809,40.374010817377574,131.27499999999998
1,Australia,270.25,149,3824,1751,80,2243,5.954545454545454,139.14090187590185,0.19118099964851212,16.200000000000003,80.19851201279468,189.71422466422464
2,Belgium,12.5,0,883,380,21,619,7.045454545454546,18.971421356421356,0.15771789651986126,2.166666666666667,5.923070668013848,27.8265873015873
3,Brazil,66.0,213,930,314,25,1138,7.863636363636363,7.705476190476192,0.13797995133285795,1.3095238095238095,1.7979141465764732,62.405891330891336
4,Bulgaria,5.5,67,699,203,0,70,9.875,2.7721428571428572,0.13577211445153592,0.16666666666666666,0.45751942208594276,16.71428571428571
5,Chile,307.25,276,2625,1117,7,1001,4.2727272727272725,66.85753246753247,0.17240990260107802,7.476190476190476,27.84010955767205,169.02023809523808
6,China,256.5,210,1339,663,12,2746,8.045454545454545,27.48181818181818,0.13541101977688882,1.3333333333333333,6.669875093766674,49.825
7,Czechia,7.0,0,478,173,0,330,0,2.455952380952381,0.1305115159954373,0,0.07307382953909664,25.25
8,Ecuador,9.5,0,704,242,0,47,10.363636363636363,4.483333333333333,0.12912584744385763,0,1.5150778173503385,58.8095238095238
9,Finland,3.75,0,558,132,7,268,4.863636363636363,4.533362193362192,0.14136137055746026,0,1.6200554202182906,18.344444444444445
10,France,113.75,64,1535,814,21,1579,9.363636363636363,57.07185425685426,0.16700759723532735,5.333333333333333,14.732009174653562,39.03962148962149
11,Germany,82.0,99,1472,697,32,2333,8.590909090909092,26.425144300144296,0.15937744166493314,3.0,14.540957503926649,80.0336691086691
12,India,112.0,0,1165,377,10,611,8.272727272727273,18.846818181818183,0.13588204292808753,1.0,7.00107191034966,62.23525641025641
13,Italy,89.75,72,0,0,42,1466,7.181818181818182,22.32773448773449,0.14017909043961474,1.1428571428571428,11.17019486342928,50.822161172161174
14,Japan,173.75,259,952,323,10,1040,11.363636363636363,7.842099567099567,0.1327461547346894,3.0,4.597186133094473,66.575
15,Republic of Korea,158.0,85,890,261,9,948,9.590909090909092,8.803528138528137,0.13322440012917777,1.0,4.251043269946666,61.32811355311355
16,Netherlands,1.875,0,1261,481,20,711,5.5,23.12943722943723,0.15651181792338195,0.5,12.507062972908255,23.569444444444446
17,New Zealand,86.0,0,2580,1228,49,1181,4.681818181818182,127.70959595959596,0.18371379367543964,10.55952380952381,72.08438120311669,91.50549450549448
18,Norway,81.5,0,1783,994,3,734,4.181818181818182,66.30689033189033,0.19243841417808977,3.7000000000000006,17.830287025129607,54.147557997557996
19,Peru,7.5,110,602,162,0,64,6.545454545454546,3.394047619047619,0.13184029646362347,0.14285714285714285,3.1882599973464045,24.934523809523807
20,Poland,40.0,0,771,191,0,458,6.909090909090909,7.162619047619048,0.13354032819918504,0,6.320989650345337,31.274999999999995
21,Russia,272.5,531,2126,923,1,719,5.590909090909091,54.16111111111112,0.131972200688787,2.5333333333333337,9.690332699776583,101.81666666666669
22,South Africa,85.0,145,777,180,16,464,4.136363636363637,4.015512265512265,0.13727260496819507,2.0,1.3996295809100479,26.854761904761908
23,Spain,24.5,134,1155,508,26,1229,6.818181818181818,20.45356421356421,0.16296701155911714,0.41666666666666663,5.704081771523872,49.87023809523809
24,Sweden,2.5,0,642,214,0,507,3.590909090909091,6.558441558441558,0.14549421353932626,1.0,2.5772312582928456,11.512637362637362
25,United Kingdom,141.625,90,2800,1922,94,3603,5.181818181818182,191.63491341991343,0.2306858961293951,30.78333333333333,93.30537394873612,151.98485958485958
26,United States,2823.0,478,5292,2740,91,11924,8.545454545454545,279.87776334776333,0.3975117847615382,31.9,166.47662077754538,275.60225885225884
27,Uruguay,52.0,160,865,323,0,116,10.181818181818182,7.529718614718614,0.1328792120552549,1.1428571428571428,2.5803016166011723,59.851190476190474
