instrument,instrument_type,instrument_year,rank,cosine_wp,cosine_wp_year,cosine_lag,cosine_similarity,rerank_wp,rerank_wp_year,rerank_lag,rerank_score
Recommendation 12,Recommendation,1961,1,ATCM1_wp022_e,1961,0,0.9270539283752441,ATCM1_wp022_e,1961,0,0.9666128
Recommendation 12,Recommendation,1961,2,ATCM1_wp014_e,1961,0,0.8987720012664795,ATCM2_wp015_e,1962,-1,0.95939845
Recommendation 12,Recommendation,1961,3,ATCM1_wp031_e,1961,0,0.8927978277206421,ATCM1_wp021_e,1961,0,0.9402653
Recommendation 12,Recommendation,1961,4,ATCM2_wp015_e,1962,-1,0.8911706209182739,ATCM3_wp023_e,1964,-3,0.93993545
Recommendation 12,Recommendation,1961,5,ATCM1_wp021_e,1961,0,0.8896507024765015,ATCM1_wp014_e,1961,0,0.9363083
Recommendation 12,Recommendation,1961,6,ATCM5_wp009_e,1968,-7,0.872901439666748,ATCM1_wp031_e,1961,0,0.9334551
Recommendation 12,Recommendation,1961,7,ATCM3_wp023_e,1964,-3,0.8701472282409668,ATCM5_wp009_e,1968,-7,0.92882305
Recommendation 12,Recommendation,1961,8,ATCM1_wp016_e,1961,0,0.8669001460075378,ATCM1_wp016_e,1961,0,0.9278485
Recommendation 12,Recommendation,1961,9,ATCM5_wp043_rev1_e,1968,-7,0.8607189655303955,ATCM3_wp006_e,1964,-3,0.92752105
Recommendation 12,Recommendation,1961,10,ATCM3_wp006_e,1964,-3,0.8575922250747681,ATCM5_wp043_rev1_e,1968,-7,0.9271921
Recommendation 52,Recommendation,1966,1,ATCM35_wp012_e,2012,-46,0.7915744781494141,ATCM4_wp042_rev2_e,1966,0,0.94996727
Recommendation 52,Recommendation,1966,2,ATCM4_wp042_e,1966,0,0.7441980838775635,ATCM4_wp042_rev1_e,1966,0,0.9447098
Recommendation 52,Recommendation,1966,3,ATCM44_wp041_e,2022,-56,0.7344470620155334,ATCM4_wp042_e,1966,0,0.93537015
Recommendation 52,Recommendation,1966,4,ATCM4_wp042_rev2_e,1966,0,0.7313650250434875,ATCM35_wp012_e,2012,-46,0.92908084
Recommendation 52,Recommendation,1966,5,ATCM4_wp042_rev1_e,1966,0,0.7279955148696899,ATCM40_wp010_rev1_e,2017,-51,0.91156626
Recommendation 52,Recommendation,1966,6,ATCM8_wp011_e,1975,-9,0.7249374389648438,ATCM44_wp041_e,2022,-56,0.91123104
Recommendation 52,Recommendation,1966,7,ATCM4_wp055_rev1_e,1966,0,0.7111959457397461,ATCM4_wp055_rev1_e,1966,0,0.8766766
Recommendation 52,Recommendation,1966,8,ATCM40_wp010_rev1_e,2017,-51,0.6978330612182617,ATCM4_wp055_e,1966,0,0.8762537
Recommendation 52,Recommendation,1966,9,ATCM4_wp055_e,1966,0,0.6958961486816406,ATCM8_wp011_e,1975,-9,0.83846825
Recommendation 52,Recommendation,1966,10,ATCM8_wp011_rev1_e,1975,-9,0.6940913200378418,ATCM8_wp011_rev1_e,1975,-9,0.83634084
Recommendation 42,Recommendation,1966,1,ATCM4_wp055_rev1_e,1966,0,0.8796453475952148,ATCM4_wp055_rev1_e,1966,0,0.95939845
Recommendation 42,Recommendation,1966,2,ATCM4_wp055_e,1966,0,0.8345500230789185,ATCM4_wp055_e,1966,0,0.9564067
Recommendation 42,Recommendation,1966,3,ATCM32_wp027_e,2009,-43,0.7676693201065063,ATCM23_wp031_e,1999,-33,0.9528557
Recommendation 42,Recommendation,1966,4,ATCM23_wp031_e,1999,-33,0.7629913091659546,ATCM32_wp027_e,2009,-43,0.94199663
Recommendation 42,Recommendation,1966,5,ATCM4_wp038_e,1966,0,0.740533709526062,ATCM4_wp038_e,1966,0,0.9336973
Recommendation 42,Recommendation,1966,6,ATCM43_wp020_e,2021,-55,0.7207992672920227,ATCM4_wp049_e,1966,0,0.92933786
Recommendation 42,Recommendation,1966,7,ATCM38_wp025_e,2015,-49,0.6927937269210815,ATCM43_wp020_e,2021,-55,0.9212798
Recommendation 42,Recommendation,1966,8,ATCM4_wp049_e,1966,0,0.6920294165611267,ATCM4_wp042_rev1_e,1966,0,0.90012664
Recommendation 42,Recommendation,1966,9,ATCM4_wp042_rev1_e,1966,0,0.683824896812439,ATCM38_wp025_e,2015,-49,0.8933466
Recommendation 42,Recommendation,1966,10,ATCM4_wp042_rev2_e,1966,0,0.6805005073547363,ATCM4_wp042_rev2_e,1966,0,0.892037
Recommendation 16,Recommendation,1961,1,ATCM1_wp024_e,1961,0,0.8690932393074036,ATCM1_wp024_e,1961,0,0.9616204
Recommendation 16,Recommendation,1961,2,ATCM2_wp016_e,1962,-1,0.772329568862915,ATCM2_wp016_e,1962,-1,0.9189469
Recommendation 16,Recommendation,1961,3,ATCM4_wp061_rev1_e,1966,-5,0.7454012632369995,ATCM2_wp026_e,1962,-1,0.9153579
Recommendation 16,Recommendation,1961,4,ATCM3_wp037_e,1964,-3,0.7428102493286133,ATCM2_wp013_e,1962,-1,0.91411066
Recommendation 16,Recommendation,1961,5,ATCM4_wp061_e,1966,-5,0.7377279996871948,ATCM6_wp027_e,1970,-9,0.8379385
Recommendation 16,Recommendation,1961,6,ATCM2_wp026_e,1962,-1,0.7265547513961792,ATCM4_wp061_rev1_e,1966,-5,0.82138824
